Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1126:24433:31657	282339	281985	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1211:5719:31970	20443	20632	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1316:10456:25989	114096	114045	-	-	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1328:20844:36965	29652	29380	+	+	broken	6	full	NA
A00742:705:HGKLFDSX7:1:1429:20980:5384	314060	314327	+	+	full	NA	broken	3
A00742:705:HGKLFDSX7:1:1537:17309:32816	237631	237394	-	-	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1573:29541:16799	272712	272535	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1641:26612:6057	199192	198913	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1674:24397:35697	90807	91099	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:2111:17119:24533	181246	181516	-	-	broken	6	partial	NA
A00742:705:HGKLFDSX7:1:2127:24758:7921	366306	366088	-	-	full	NA	broken	3
A00742:705:HGKLFDSX7:1:2219:6162:25160	119777	120038	+	+	full	NA	broken	13
A00742:705:HGKLFDSX7:1:2366:27425:4805	220610	220985	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:2430:30924:27148	286848	286783	-	-	full	NA	broken	32
A00742:705:HGKLFDSX7:1:2446:31792:19445	268403	268662	-	-	complex	NA	full	NA
A00742:705:HGKLFDSX7:1:2448:29568:3411	329238	329510	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:2519:7916:30733	227481	227231	+	+	broken	7	full	NA
A00742:705:HGKLFDSX7:1:2614:2763:9251	284389	284695	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:2639:6831:4210	129413	129083	-	-	full	NA	broken	6
A00742:705:HGKLFDSX7:1:2658:17960:2848	336740	336904	+	+	full	NA	broken	1
