Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:8965:1110	195753	195324	+	-
A00742:705:HGKLFDSX7:1:1101:9525:1235	128404	128475	-	+
A00742:705:HGKLFDSX7:1:1101:13042:1814	245258	68426	-	-
A00742:705:HGKLFDSX7:1:1101:27245:2425	68842	69578	-	+
A00742:705:HGKLFDSX7:1:1101:14805:2394	360906	69466	+	+
A00742:705:HGKLFDSX7:1:1101:26160:3709	256338	30619	+	+
A00742:705:HGKLFDSX7:1:1101:6696:4163	155962	154833	+	-
A00742:705:HGKLFDSX7:1:1101:31548:4398	190057	187044	+	-
A00742:705:HGKLFDSX7:1:1101:18358:5572	355386	355317	+	-
A00742:705:HGKLFDSX7:1:1101:10872:5635	50995	265264	+	+
A00742:705:HGKLFDSX7:1:1101:32931:6417	355321	355260	+	-
A00742:705:HGKLFDSX7:1:1101:32633:7279	122705	124156	-	+
A00742:705:HGKLFDSX7:1:1101:18394:9361	98583	270544	-	+
A00742:705:HGKLFDSX7:1:1101:30291:9455	72333	72384	-	+
A00742:705:HGKLFDSX7:1:1101:10059:10050	77714	76405	+	-
A00742:705:HGKLFDSX7:1:1101:8621:10535	77714	76405	+	-
A00742:705:HGKLFDSX7:1:1101:8567:10629	77714	76405	+	-
A00742:705:HGKLFDSX7:1:1101:11451:11522	72607	79966	-	+
A00742:705:HGKLFDSX7:1:1101:19054:12101	164627	165436	-	+
A00742:705:HGKLFDSX7:1:1101:17454:13526	81929	71114	+	-
A00742:705:HGKLFDSX7:1:1101:15799:14544	1563	2442	-	+
A00742:705:HGKLFDSX7:1:1101:24858:14763	49523	265941	-	-
A00742:705:HGKLFDSX7:1:1101:6849:16360	73294	69105	+	-
A00742:705:HGKLFDSX7:1:1101:15311:16423	72435	72494	-	+
A00742:705:HGKLFDSX7:1:1101:15302:16438	72435	72494	-	+
A00742:705:HGKLFDSX7:1:1101:7844:18020	254788	256502	-	+
A00742:705:HGKLFDSX7:1:1101:6641:19069	265419	264171	+	-
A00742:705:HGKLFDSX7:1:1101:16143:19554	360877	69614	+	+
A00742:705:HGKLFDSX7:1:1101:19253:19867	33201	33695	-	+
A00742:705:HGKLFDSX7:1:1101:30120:20901	265304	264173	+	-
A00742:705:HGKLFDSX7:1:1101:12075:23719	267491	266967	+	-
A00742:705:HGKLFDSX7:1:1101:18267:24862	263152	263404	-	+
A00742:705:HGKLFDSX7:1:1101:4580:25175	159295	156850	+	-
A00742:705:HGKLFDSX7:1:1101:19045:30060	28947	29967	-	+
A00742:705:HGKLFDSX7:1:1101:4074:30342	116309	112714	+	-
A00742:705:HGKLFDSX7:1:1101:4173:30483	116309	112714	+	-
A00742:705:HGKLFDSX7:1:1101:7979:30499	187499	187437	+	-
A00742:705:HGKLFDSX7:1:1101:18168:31015	69564	68792	+	-
A00742:705:HGKLFDSX7:1:1101:10538:31046	264087	265454	-	+
A00742:705:HGKLFDSX7:1:1101:3830:31172	116309	112714	+	-
A00742:705:HGKLFDSX7:1:1101:9317:31688	187499	187437	+	-
A00742:705:HGKLFDSX7:1:1101:28989:32471	30597	256247	+	+
A00742:705:HGKLFDSX7:1:1101:3920:33426	266349	267484	-	+
A00742:705:HGKLFDSX7:1:1101:29333:33786	30597	256247	+	+
A00742:705:HGKLFDSX7:1:1101:6795:34397	68678	69161	-	+
A00742:705:HGKLFDSX7:1:1101:11116:34961	68801	69620	-	+
A00742:705:HGKLFDSX7:1:1101:4490:35415	185433	184224	+	-
A00742:705:HGKLFDSX7:1:1101:11424:35462	68801	69620	-	+
A00742:705:HGKLFDSX7:1:1101:22480:35477	326795	324711	+	-
A00742:705:HGKLFDSX7:1:1101:29315:36479	79919	76278	+	-
A00742:705:HGKLFDSX7:1:1101:28682:36542	44636	23289	+	-
A00742:705:HGKLFDSX7:1:1102:4517:2049	198435	2991	+	-
A00742:705:HGKLFDSX7:1:1102:23204:2440	197202	200342	-	+
A00742:705:HGKLFDSX7:1:1102:19877:2472	164565	165451	-	+
A00742:705:HGKLFDSX7:1:1102:24062:2456	265604	263786	+	-
A00742:705:HGKLFDSX7:1:1102:30427:2581	69317	68697	+	-
A00742:705:HGKLFDSX7:1:1102:6045:2597	69479	68713	+	-
A00742:705:HGKLFDSX7:1:1102:31367:3145	299050	300436	-	+
A00742:705:HGKLFDSX7:1:1102:21043:3208	90524	89197	+	-
A00742:705:HGKLFDSX7:1:1102:21151:3364	90524	89197	+	-
A00742:705:HGKLFDSX7:1:1102:5692:3396	198435	2991	+	-
A00742:705:HGKLFDSX7:1:1102:16134:3443	127828	127642	+	-
A00742:705:HGKLFDSX7:1:1102:4092:3630	69479	68713	+	-
A00742:705:HGKLFDSX7:1:1102:30120:4210	325310	322953	+	-
A00742:705:HGKLFDSX7:1:1102:13901:4460	163226	160803	+	-
A00742:705:HGKLFDSX7:1:1102:4463:5525	267399	267040	+	-
A00742:705:HGKLFDSX7:1:1102:3378:5588	116783	117002	-	+
A00742:705:HGKLFDSX7:1:1102:14461:5619	190536	191629	-	+
A00742:705:HGKLFDSX7:1:1102:16767:6543	364479	365981	-	+
A00742:705:HGKLFDSX7:1:1102:16342:7247	266702	267057	-	+
A00742:705:HGKLFDSX7:1:1102:5647:7263	331618	24486	+	+
A00742:705:HGKLFDSX7:1:1102:5891:7498	331618	24486	+	+
A00742:705:HGKLFDSX7:1:1102:5556:7607	44359	42192	+	-
A00742:705:HGKLFDSX7:1:1102:12626:9392	2609	195257	+	-
A00742:705:HGKLFDSX7:1:1102:32814:10285	180509	180213	+	-
A00742:705:HGKLFDSX7:1:1102:5376:10363	265655	263780	-	+
A00742:705:HGKLFDSX7:1:1102:17562:10426	68972	69593	-	+
A00742:705:HGKLFDSX7:1:1102:2998:10723	72458	72267	+	-
A00742:705:HGKLFDSX7:1:1102:32931:11177	300804	300843	-	+
A00742:705:HGKLFDSX7:1:1102:32949:11209	300804	300843	-	+
A00742:705:HGKLFDSX7:1:1102:23348:12994	68892	69643	-	+
A00742:705:HGKLFDSX7:1:1102:27896:13510	360903	69550	+	+
A00742:705:HGKLFDSX7:1:1102:20943:14653	185642	185698	-	+
A00742:705:HGKLFDSX7:1:1102:5122:15186	69651	69024	+	-
A00742:705:HGKLFDSX7:1:1102:20835:15217	68759	69535	-	+
A00742:705:HGKLFDSX7:1:1102:23357:15546	280688	280387	+	-
A00742:705:HGKLFDSX7:1:1102:4707:17754	24154	24460	-	+
A00742:705:HGKLFDSX7:1:1102:14606:18584	255173	256403	-	+
A00742:705:HGKLFDSX7:1:1102:30165:20572	76335	79896	-	+
A00742:705:HGKLFDSX7:1:1102:21224:20713	267164	266433	+	-
A00742:705:HGKLFDSX7:1:1102:21314:20744	267164	266433	+	-
A00742:705:HGKLFDSX7:1:1102:3152:22200	14882	153262	+	-
A00742:705:HGKLFDSX7:1:1102:18855:22467	267437	266350	+	-
A00742:705:HGKLFDSX7:1:1102:7346:23453	188616	187226	+	-
A00742:705:HGKLFDSX7:1:1102:16649:23563	198472	196615	+	-
A00742:705:HGKLFDSX7:1:1102:26485:23782	265395	264181	+	-
A00742:705:HGKLFDSX7:1:1102:24297:23813	104566	100991	+	-
A00742:705:HGKLFDSX7:1:1102:13720:23938	69548	68818	+	-
A00742:705:HGKLFDSX7:1:1102:15691:23938	278234	277980	+	-
A00742:705:HGKLFDSX7:1:1102:30608:25097	265381	50966	+	+
A00742:705:HGKLFDSX7:1:1102:7898:25441	44530	43880	+	-
A00742:705:HGKLFDSX7:1:1102:31964:25504	267299	266822	+	-
A00742:705:HGKLFDSX7:1:1102:28854:26068	72298	72181	+	-
A00742:705:HGKLFDSX7:1:1102:28402:26224	72298	72181	+	-
A00742:705:HGKLFDSX7:1:1102:20717:26287	35797	35646	+	-
A00742:705:HGKLFDSX7:1:1102:23140:26349	104566	100991	+	-
A00742:705:HGKLFDSX7:1:1102:15230:27430	260491	260667	-	+
A00742:705:HGKLFDSX7:1:1102:7129:27680	44530	43880	+	-
A00742:705:HGKLFDSX7:1:1102:15338:27649	260491	260667	-	+
A00742:705:HGKLFDSX7:1:1102:31702:28213	225804	225959	-	+
