Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:6126:3740	231331	304194	+	-
A00742:705:HGKLFDSX7:1:1101:10673:11303	97	367640	-	+
A00742:705:HGKLFDSX7:1:1101:10691:11334	97	367640	-	+
A00742:705:HGKLFDSX7:1:1102:4752:6433	58463	254747	+	+
A00742:705:HGKLFDSX7:1:1102:1823:14857	194333	367665	-	+
A00742:705:HGKLFDSX7:1:1103:12952:33035	194383	367746	-	+
A00742:705:HGKLFDSX7:1:1103:12084:33661	194383	367746	-	+
A00742:705:HGKLFDSX7:1:1104:7509:2065	194371	367568	-	+
A00742:705:HGKLFDSX7:1:1104:4110:2127	367587	184	+	-
A00742:705:HGKLFDSX7:1:1104:5150:9283	367565	44	+	-
A00742:705:HGKLFDSX7:1:1104:3061:16282	367553	74	+	-
A00742:705:HGKLFDSX7:1:1104:24316:25347	367627	194282	+	-
A00742:705:HGKLFDSX7:1:1104:2998:33270	269549	67136	+	-
A00742:705:HGKLFDSX7:1:1104:22598:36558	67217	269522	-	+
A00742:705:HGKLFDSX7:1:1104:22815:36839	67217	269522	-	+
A00742:705:HGKLFDSX7:1:1105:6533:11052	89	367700	-	+
A00742:705:HGKLFDSX7:1:1106:7003:5102	194282	367662	-	+
A00742:705:HGKLFDSX7:1:1106:24867:5196	367760	501	+	-
A00742:705:HGKLFDSX7:1:1106:24487:5822	367760	501	+	-
A00742:705:HGKLFDSX7:1:1107:3323:1360	234076	270283	+	+
A00742:705:HGKLFDSX7:1:1107:32000:2018	108340	340836	+	+
A00742:705:HGKLFDSX7:1:1107:5791:7889	67161	269442	-	+
A00742:705:HGKLFDSX7:1:1107:4101:8876	67161	269442	-	+
A00742:705:HGKLFDSX7:1:1107:1271:12461	13	367600	-	+
A00742:705:HGKLFDSX7:1:1107:7003:15812	269487	67073	+	-
A00742:705:HGKLFDSX7:1:1107:22083:32471	269465	67080	+	-
A00742:705:HGKLFDSX7:1:1107:21983:35023	211303	214842	+	-
A00742:705:HGKLFDSX7:1:1107:13214:36245	99396	90188	-	+
A00742:705:HGKLFDSX7:1:1108:14977:5384	367681	298	+	-
A00742:705:HGKLFDSX7:1:1108:15085:5603	367681	194495	+	-
A00742:705:HGKLFDSX7:1:1109:2826:16939	194199	367409	-	+
A00742:705:HGKLFDSX7:1:1109:16215:36401	265994	49387	-	-
A00742:705:HGKLFDSX7:1:1111:31159:18067	66774	269745	+	-
A00742:705:HGKLFDSX7:1:1112:23357:11068	292	367705	-	+
A00742:705:HGKLFDSX7:1:1112:9200:19993	54	367517	-	+
A00742:705:HGKLFDSX7:1:1112:29875:22733	269420	67075	+	-
A00742:705:HGKLFDSX7:1:1112:4490:23641	202	367760	-	+
A00742:705:HGKLFDSX7:1:1113:29143:22216	58541	254799	+	+
A00742:705:HGKLFDSX7:1:1113:30789:33082	108158	340799	+	+
A00742:705:HGKLFDSX7:1:1114:23800:21731	269881	66790	-	+
A00742:705:HGKLFDSX7:1:1114:24903:26365	166	367713	-	+
A00742:705:HGKLFDSX7:1:1115:22516:26021	367423	194385	+	-
A00742:705:HGKLFDSX7:1:1116:6668:16016	367591	194282	+	-
A00742:705:HGKLFDSX7:1:1116:18918:33630	63803	228966	-	-
A00742:705:HGKLFDSX7:1:1116:18783:33927	63803	228966	-	-
A00742:705:HGKLFDSX7:1:1117:22254:7122	49452	266020	-	-
A00742:705:HGKLFDSX7:1:1118:12210:7827	367716	194350	+	-
A00742:705:HGKLFDSX7:1:1118:20528:17754	367714	418	+	-
A00742:705:HGKLFDSX7:1:1118:2230:21418	205	367746	-	+
A00742:705:HGKLFDSX7:1:1119:5204:9659	269450	67039	+	-
A00742:705:HGKLFDSX7:1:1119:5240:17675	67131	269343	-	+
A00742:705:HGKLFDSX7:1:1119:24623:19210	67075	269512	-	+
A00742:705:HGKLFDSX7:1:1119:24505:20447	252259	156286	-	-
A00742:705:HGKLFDSX7:1:1119:11315:25379	156303	252051	-	-
A00742:705:HGKLFDSX7:1:1119:2383:28667	156308	252202	-	-
A00742:705:HGKLFDSX7:1:1119:28944:36871	203301	198582	+	-
A00742:705:HGKLFDSX7:1:1120:18891:4867	269473	67043	+	-
A00742:705:HGKLFDSX7:1:1120:18973:14497	31163	331852	+	+
A00742:705:HGKLFDSX7:1:1122:26377:19053	367738	200	+	-
A00742:705:HGKLFDSX7:1:1122:1787:26381	239103	160340	-	-
A00742:705:HGKLFDSX7:1:1123:14922:5541	265844	49498	-	-
A00742:705:HGKLFDSX7:1:1123:13322:22091	340734	108376	+	+
A00742:705:HGKLFDSX7:1:1124:20600:10300	293981	294333	+	+
A00742:705:HGKLFDSX7:1:1124:24406:30577	144	367527	-	+
A00742:705:HGKLFDSX7:1:1125:5918:7764	367760	194449	+	-
A00742:705:HGKLFDSX7:1:1125:8974:10175	270841	234399	-	-
A00742:705:HGKLFDSX7:1:1125:7527:10363	331943	234399	-	-
A00742:705:HGKLFDSX7:1:1125:30445:16360	367701	194405	+	-
A00742:705:HGKLFDSX7:1:1126:31060:5807	265890	49473	-	-
A00742:705:HGKLFDSX7:1:1126:22272:21151	367533	116	+	-
A00742:705:HGKLFDSX7:1:1126:7383:24267	194335	367748	-	+
A00742:705:HGKLFDSX7:1:1126:18964:24565	156352	252050	-	-
A00742:705:HGKLFDSX7:1:1127:1244:1266	67100	269389	-	+
A00742:705:HGKLFDSX7:1:1127:1958:3035	266013	49344	-	-
A00742:705:HGKLFDSX7:1:1127:27344:27962	367417	1	+	-
A00742:705:HGKLFDSX7:1:1128:18918:10394	367655	35	+	-
A00742:705:HGKLFDSX7:1:1128:25708:22247	367528	194321	+	-
A00742:705:HGKLFDSX7:1:1128:26268:22498	367528	194321	+	-
A00742:705:HGKLFDSX7:1:1128:25970:22858	367528	194321	+	-
A00742:705:HGKLFDSX7:1:1128:13829:33552	156	367755	-	+
A00742:705:HGKLFDSX7:1:1129:19289:32863	67070	269504	-	+
A00742:705:HGKLFDSX7:1:1131:13277:21073	153	367728	-	+
A00742:705:HGKLFDSX7:1:1132:5168:6934	367539	194282	+	-
A00742:705:HGKLFDSX7:1:1132:7355:19429	194354	367690	-	+
A00742:705:HGKLFDSX7:1:1132:9353:27837	367743	194420	+	-
A00742:705:HGKLFDSX7:1:1132:9688:30733	189	367756	-	+
A00742:705:HGKLFDSX7:1:1133:28393:7200	194258	367635	-	+
A00742:705:HGKLFDSX7:1:1133:20157:17425	33685	42096	-	+
A00742:705:HGKLFDSX7:1:1133:20952:18020	33685	42096	-	+
A00742:705:HGKLFDSX7:1:1133:30825:28134	108458	340720	+	+
A00742:705:HGKLFDSX7:1:1134:17607:7905	49477	265919	-	-
A00742:705:HGKLFDSX7:1:1134:9209:14528	194477	367724	-	+
A00742:705:HGKLFDSX7:1:1135:31268:34162	194473	367432	-	+
A00742:705:HGKLFDSX7:1:1135:32307:35775	340719	108322	+	+
A00742:705:HGKLFDSX7:1:1136:32723:2174	269872	66806	-	+
A00742:705:HGKLFDSX7:1:1136:25536:11678	271366	111791	-	-
A00742:705:HGKLFDSX7:1:1136:4191:16517	239049	131335	-	-
A00742:705:HGKLFDSX7:1:1136:2175:24455	194372	367594	-	+
A00742:705:HGKLFDSX7:1:1136:12970:31501	176798	175236	+	-
A00742:705:HGKLFDSX7:1:1137:32027:13777	367539	194239	+	-
A00742:705:HGKLFDSX7:1:1137:31982:14356	367539	194239	+	-
A00742:705:HGKLFDSX7:1:1137:31783:14387	367539	194239	+	-
A00742:705:HGKLFDSX7:1:1138:17065:21120	367735	194426	+	-
A00742:705:HGKLFDSX7:1:1138:11903:30279	156	367633	-	+
A00742:705:HGKLFDSX7:1:1140:6804:3944	188	367546	-	+
A00742:705:HGKLFDSX7:1:1140:30608:26036	99396	90188	-	+
A00742:705:HGKLFDSX7:1:1140:3233:28072	108	367418	-	+
A00742:705:HGKLFDSX7:1:1141:17463:6934	367538	139	+	-
A00742:705:HGKLFDSX7:1:1141:27814:14372	367608	210	+	-
A00742:705:HGKLFDSX7:1:1141:12445:32189	367544	217	+	-
A00742:705:HGKLFDSX7:1:1141:11568:32236	367544	217	+	-
A00742:705:HGKLFDSX7:1:1142:31928:33990	194488	367762	-	+
A00742:705:HGKLFDSX7:1:1143:22372:2754	291	367665	-	+
A00742:705:HGKLFDSX7:1:1144:28682:5447	331866	31129	+	+
A00742:705:HGKLFDSX7:1:1144:29116:5509	331866	31129	+	+
A00742:705:HGKLFDSX7:1:1144:14045:5963	278487	94337	-	+
A00742:705:HGKLFDSX7:1:1145:3775:2018	304384	231474	-	+
A00742:705:HGKLFDSX7:1:1145:21224:3897	367641	194311	+	-
A00742:705:HGKLFDSX7:1:1145:21043:4053	367641	194311	+	-
A00742:705:HGKLFDSX7:1:1145:5168:4272	367524	61	+	-
A00742:705:HGKLFDSX7:1:1145:4200:23703	331414	23240	+	+
A00742:705:HGKLFDSX7:1:1145:23321:25441	58660	254662	+	+
A00742:705:HGKLFDSX7:1:1145:4553:35618	367495	39	+	-
A00742:705:HGKLFDSX7:1:1146:3477:5447	256719	302514	+	-
A00742:705:HGKLFDSX7:1:1146:1787:25692	108435	340751	+	+
A00742:705:HGKLFDSX7:1:1147:29649:3677	231470	304371	+	-
A00742:705:HGKLFDSX7:1:1148:19759:6339	10568	16374	+	-
A00742:705:HGKLFDSX7:1:1148:8377:25175	393	367719	-	+
A00742:705:HGKLFDSX7:1:1149:22589:15217	367708	194419	+	-
A00742:705:HGKLFDSX7:1:1149:27046:27445	291698	289193	-	+
A00742:705:HGKLFDSX7:1:1150:9426:3443	38544	38238	+	+
A00742:705:HGKLFDSX7:1:1151:25997:6872	108489	340187	+	+
