Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1218:21974:27461	289621	289795	+	+	full	NA	broken	6
A00742:705:HGKLFDSX7:1:1309:15157:28463	272101	271992	+	+	full	NA	broken	10
A00742:705:HGKLFDSX7:1:1312:10393:35117	1520	1038	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1321:25861:18380	236865	235948	+	+	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1405:20672:30217	187983	187706	-	-	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1418:16378:22498	59068	58745	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1546:18765:35117	364798	364966	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1655:10755:24502	322968	323083	+	+	broken	14	broken	14
A00742:705:HGKLFDSX7:1:2169:9019:28291	178569	178649	+	+	partial	NA	partial	NA
A00742:705:HGKLFDSX7:1:2227:17725:23390	27892	28272	+	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:2231:6623:36824	109857	109543	+	+	broken	35	full	NA
A00742:705:HGKLFDSX7:1:2260:20365:33505	237362	237243	-	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:2452:25852:17644	357576	357847	-	-	broken	2	full	NA
A00742:705:HGKLFDSX7:1:2574:23104:4335	140435	140636	-	-	broken	1	full	NA
A00742:705:HGKLFDSX7:1:2669:28122:10175	100784	100584	-	-	full	NA	broken	8
