Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:16071:1016	100993	102717	-	+
A00742:705:HGKLFDSX7:1:1101:22426:1063	69518	360992	+	+
A00742:705:HGKLFDSX7:1:1101:27453:1376	73383	65676	+	-
A00742:705:HGKLFDSX7:1:1101:27733:1454	73383	65676	+	-
A00742:705:HGKLFDSX7:1:1101:24370:1611	67110	269393	-	+
A00742:705:HGKLFDSX7:1:1101:27724:1783	73383	65676	+	-
A00742:705:HGKLFDSX7:1:1101:20880:2550	136845	239852	-	+
A00742:705:HGKLFDSX7:1:1101:14714:3208	152297	151395	+	-
A00742:705:HGKLFDSX7:1:1101:31304:3975	247802	246475	+	-
A00742:705:HGKLFDSX7:1:1101:19479:4789	44995	45155	-	+
A00742:705:HGKLFDSX7:1:1101:20112:5228	44995	45155	-	+
A00742:705:HGKLFDSX7:1:1101:12373:5791	127519	127874	-	+
A00742:705:HGKLFDSX7:1:1101:26603:5791	74171	75531	-	+
A00742:705:HGKLFDSX7:1:1101:8938:6793	250190	238636	+	-
A00742:705:HGKLFDSX7:1:1101:26106:6809	190399	192022	-	+
A00742:705:HGKLFDSX7:1:1101:5159:7075	43463	42110	+	-
A00742:705:HGKLFDSX7:1:1101:18792:8015	268098	263402	+	-
A00742:705:HGKLFDSX7:1:1101:24858:8375	67110	269393	-	+
A00742:705:HGKLFDSX7:1:1101:22272:8656	161389	97923	-	-
A00742:705:HGKLFDSX7:1:1101:26133:9862	266480	267241	-	+
A00742:705:HGKLFDSX7:1:1101:27290:10238	52189	52142	+	-
A00742:705:HGKLFDSX7:1:1101:27046:10441	52189	52142	+	-
A00742:705:HGKLFDSX7:1:1101:32687:10316	73559	65871	+	-
A00742:705:HGKLFDSX7:1:1101:12906:12821	18297	17820	+	-
A00742:705:HGKLFDSX7:1:1101:21920:14559	50791	265300	+	+
A00742:705:HGKLFDSX7:1:1101:2609:15123	266914	267349	-	+
A00742:705:HGKLFDSX7:1:1101:30020:15812	265304	264217	+	-
A00742:705:HGKLFDSX7:1:1101:20148:16407	301068	297358	+	-
A00742:705:HGKLFDSX7:1:1101:19669:16642	195578	196838	-	+
A00742:705:HGKLFDSX7:1:1101:23339:17425	321470	43735	+	+
A00742:705:HGKLFDSX7:1:1101:7663:17675	45204	45301	-	+
A00742:705:HGKLFDSX7:1:1101:9760:18364	364531	365995	-	+
A00742:705:HGKLFDSX7:1:1101:18548:18771	313431	312744	+	-
A00742:705:HGKLFDSX7:1:1101:32570:19633	191243	191087	+	-
A00742:705:HGKLFDSX7:1:1101:19651:21934	266711	267318	-	+
A00742:705:HGKLFDSX7:1:1101:32018:23062	337131	336354	+	-
A00742:705:HGKLFDSX7:1:1101:16143:23500	68698	69480	-	+
A00742:705:HGKLFDSX7:1:1101:12084:23672	265389	50924	+	+
A00742:705:HGKLFDSX7:1:1101:18430:23829	265486	50907	+	+
A00742:705:HGKLFDSX7:1:1101:3766:24111	69647	68918	+	-
A00742:705:HGKLFDSX7:1:1101:10890:25363	265389	264079	+	-
A00742:705:HGKLFDSX7:1:1101:16125:29293	275763	277238	-	+
A00742:705:HGKLFDSX7:1:1101:14778:30060	44812	44663	+	-
A00742:705:HGKLFDSX7:1:1101:18023:30138	267388	266345	+	-
A00742:705:HGKLFDSX7:1:1101:32407:30217	3737	1382	+	-
A00742:705:HGKLFDSX7:1:1101:9561:30452	253239	250230	+	-
A00742:705:HGKLFDSX7:1:1101:3974:31140	296362	301110	-	+
A00742:705:HGKLFDSX7:1:1101:2880:31594	296362	301110	-	+
A00742:705:HGKLFDSX7:1:1101:11903:33066	33487	34198	-	+
A00742:705:HGKLFDSX7:1:1101:10294:33129	264011	265348	-	+
A00742:705:HGKLFDSX7:1:1101:30409:33301	50850	265478	+	+
A00742:705:HGKLFDSX7:1:1101:11984:33959	68156	71489	-	+
A00742:705:HGKLFDSX7:1:1101:32669:33959	40561	40400	+	-
A00742:705:HGKLFDSX7:1:1101:10402:34194	138571	138800	-	+
A00742:705:HGKLFDSX7:1:1101:25997:34209	108395	340872	+	+
A00742:705:HGKLFDSX7:1:1101:13738:34334	265345	362125	+	+
A00742:705:HGKLFDSX7:1:1101:29830:34491	76504	74555	+	-
A00742:705:HGKLFDSX7:1:1101:22254:35211	340301	339740	+	-
