Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1117:3459:34538	67578	67815	-	+	full	NA	broken	8
A00742:705:HGKLFDSX7:1:1175:21766:36902	357946	357776	+	+	broken	6	full	NA
A00742:705:HGKLFDSX7:1:1216:14796:25488	154754	154654	-	-	broken	6	broken	6
A00742:705:HGKLFDSX7:1:1220:13150:1783	68888	69553	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1249:1154:25347	104371	105037	-	+	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1351:2944:18114	165743	165663	-	-	broken	3	full	NA
A00742:705:HGKLFDSX7:1:1425:30273:27117	45314	44969	+	-	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1427:32398:32205	13150	12962	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1432:13874:31031	290843	289975	+	+	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1454:12328:20838	148587	148464	-	-	broken	6	full	NA
A00742:705:HGKLFDSX7:1:1501:8160:28025	324396	324204	+	+	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1502:17842:2988	294593	294665	+	+	broken	10	full	NA
A00742:705:HGKLFDSX7:1:1510:20365:4413	111499	111288	-	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1510:2609:6073	95313	94948	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1538:10746:1376	266901	266222	+	-	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1554:32443:7764	207078	207056	+	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1608:2302:35665	130603	129697	+	-	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1616:10221:9706	56775	57105	+	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1649:14308:22733	226800	226548	-	-	full	NA	broken	5
A00742:705:HGKLFDSX7:1:2112:9326:15139	266821	266273	+	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:2142:23258:9142	111906	112249	+	+	full	NA	broken	13
A00742:705:HGKLFDSX7:1:2220:25437:19398	176793	175888	+	-	full	NA	broken	2
A00742:705:HGKLFDSX7:1:2229:27688:34663	148851	149095	-	-	broken	1	full	NA
A00742:705:HGKLFDSX7:1:2244:10456:5948	242978	242680	-	-	full	NA	broken	3
A00742:705:HGKLFDSX7:1:2248:21938:4977	129869	129912	-	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:2273:17291:4726	125237	124659	-	-	partial	NA	broken	1
A00742:705:HGKLFDSX7:1:2275:28953:14873	95807	95410	+	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:2410:10004:3161	266386	267084	-	+	full	NA	broken	11
A00742:705:HGKLFDSX7:1:2440:19063:1939	41142	41011	-	-	full	NA	broken	5
A00742:705:HGKLFDSX7:1:2450:8594:11115	81674	81346	-	-	full	NA	broken	2
A00742:705:HGKLFDSX7:1:2469:6189:35133	304708	304811	+	+	full	NA	broken	8
A00742:705:HGKLFDSX7:1:2531:1479:24690	205196	205400	-	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:2566:29794:5682	258697	258873	+	+	full	NA	broken	35
A00742:705:HGKLFDSX7:1:2573:19886:6026	37439	37842	+	+	full	NA	broken	19
A00742:705:HGKLFDSX7:1:2604:27136:25222	35400	35709	+	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:2646:32090:21496	124415	123977	+	+	broken	3	full	NA
