Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1101:25220:1673	68998	69391	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:25129:2362	68920	69571	-	+	full	NA	broken	35
A00742:705:HGKLFDSX7:1:1101:32805:2440	266846	267153	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:7401:3004	267079	266670	+	-	broken	26	full	NA
A00742:705:HGKLFDSX7:1:1101:20292:4288	69657	68924	+	-	broken	35	full	NA
A00742:705:HGKLFDSX7:1:1101:20329:6825	69458	68800	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:17779:9236	69477	68774	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:9941:10191	100802	101506	-	+	full	NA	broken	10
A00742:705:HGKLFDSX7:1:1101:14470:12743	157863	157522	+	-	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1101:26512:19601	323101	322391	+	-	broken	3	full	NA
A00742:705:HGKLFDSX7:1:1101:17490:22294	69431	68860	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:2239:22310	98873	98554	-	-	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1101:27389:24032	267355	266631	+	-	full	NA	broken	33
A00742:705:HGKLFDSX7:1:1101:24334:24126	69597	68928	+	-	broken	35	full	NA
A00742:705:HGKLFDSX7:1:1101:30906:24392	180520	180279	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:24126:24706	300547	301109	-	+	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1101:26169:27461	68867	69587	-	+	full	NA	broken	36
A00742:705:HGKLFDSX7:1:1101:17409:27508	69557	68825	+	-	broken	35	full	NA
A00742:705:HGKLFDSX7:1:1101:22625:27524	68717	69410	-	+	broken	36	full	NA
A00742:705:HGKLFDSX7:1:1101:27263:27633	251363	250844	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:2266:28620	155361	154846	+	-	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1101:13214:28980	44210	45135	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:17734:29637	69642	68817	+	-	broken	35	full	NA
A00742:705:HGKLFDSX7:1:1101:18909:29763	281178	281889	-	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1101:24424:30295	68719	69546	-	+	broken	35	full	NA
A00742:705:HGKLFDSX7:1:1101:21350:30921	186409	185706	+	-	broken	16	full	NA
A00742:705:HGKLFDSX7:1:1101:19226:32033	38190	38262	-	+	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1101:3766:34068	45614	45037	+	-	broken	12	full	NA
A00742:705:HGKLFDSX7:1:1101:19361:34272	266502	267446	-	+	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1101:6804:36198	80901	80066	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:30942:36417	68782	69501	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:5159:36511	41584	41978	-	+	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1101:29875:36667	45507	45235	+	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1102:17472:1658	266717	267180	-	+	broken	97	full	NA
A00742:705:HGKLFDSX7:1:1102:31186:4492	68643	68400	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1102:6470:6402	231649	232479	-	+	full	NA	full	NA
