Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:12382:1235	252118	156282	-	-
A00742:705:HGKLFDSX7:1:1101:9860:2284	367753	194649	+	-
A00742:705:HGKLFDSX7:1:1101:22724:16517	194327	367496	-	+
A00742:705:HGKLFDSX7:1:1101:8404:21590	138	367675	-	+
A00742:705:HGKLFDSX7:1:1103:28899:18317	108287	340842	+	+
A00742:705:HGKLFDSX7:1:1105:2790:28275	58628	254674	+	+
A00742:705:HGKLFDSX7:1:1106:19199:4930	269542	67128	+	-
A00742:705:HGKLFDSX7:1:1107:29134:4789	194476	367697	-	+
A00742:705:HGKLFDSX7:1:1107:17942:6762	31449	271365	-	-
A00742:705:HGKLFDSX7:1:1108:1759:16971	194302	367579	-	+
A00742:705:HGKLFDSX7:1:1108:4155:17268	194302	367579	-	+
A00742:705:HGKLFDSX7:1:1108:31132:33959	108438	340878	+	+
A00742:705:HGKLFDSX7:1:1110:9109:12759	58404	254665	+	+
A00742:705:HGKLFDSX7:1:1110:26512:14935	38	367577	-	+
A00742:705:HGKLFDSX7:1:1110:10420:19539	194541	367764	-	+
A00742:705:HGKLFDSX7:1:1111:23204:3568	194467	367741	-	+
A00742:705:HGKLFDSX7:1:1111:26458:35258	367592	75	+	-
A00742:705:HGKLFDSX7:1:1112:3531:14591	367719	194231	+	-
A00742:705:HGKLFDSX7:1:1112:13865:20619	108378	340760	+	+
A00742:705:HGKLFDSX7:1:1112:9588:22983	63671	228938	-	-
A00742:705:HGKLFDSX7:1:1113:20112:4820	367752	215	+	-
A00742:705:HGKLFDSX7:1:1113:6081:14998	194298	12762	-	+
A00742:705:HGKLFDSX7:1:1113:6325:17519	194298	12762	-	+
A00742:705:HGKLFDSX7:1:1113:14959:19507	367717	275	+	-
A00742:705:HGKLFDSX7:1:1114:3947:14465	368	367679	-	+
A00742:705:HGKLFDSX7:1:1114:3766:14559	368	367679	-	+
A00742:705:HGKLFDSX7:1:1114:1515:25316	194203	367533	-	+
A00742:705:HGKLFDSX7:1:1115:20582:32158	67119	269399	-	+
A00742:705:HGKLFDSX7:1:1115:13069:32393	304404	231322	-	+
A00742:705:HGKLFDSX7:1:1115:12283:32471	304404	231322	-	+
A00742:705:HGKLFDSX7:1:1116:5900:21198	231429	304350	+	-
A00742:705:HGKLFDSX7:1:1117:4824:15076	79	367614	-	+
A00742:705:HGKLFDSX7:1:1117:32045:35321	194201	367208	-	+
A00742:705:HGKLFDSX7:1:1118:2148:19335	340689	108445	+	+
A00742:705:HGKLFDSX7:1:1119:9109:5932	367589	194233	+	-
A00742:705:HGKLFDSX7:1:1119:21558:9236	345173	134678	-	+
A00742:705:HGKLFDSX7:1:1119:7708:26303	367607	194243	+	-
A00742:705:HGKLFDSX7:1:1119:19542:33176	367587	194244	+	-
A00742:705:HGKLFDSX7:1:1119:20726:33191	367587	194244	+	-
A00742:705:HGKLFDSX7:1:1120:9787:16282	38805	21263	+	+
A00742:705:HGKLFDSX7:1:1121:9372:14559	4326	198321	-	-
A00742:705:HGKLFDSX7:1:1121:14488:15624	66579	269767	+	-
A00742:705:HGKLFDSX7:1:1121:18331:24846	367559	83	+	-
A00742:705:HGKLFDSX7:1:1121:18403:34679	229001	63733	-	-
A00742:705:HGKLFDSX7:1:1122:26087:2988	267576	77343	+	+
A00742:705:HGKLFDSX7:1:1122:24876:5149	267576	77343	+	+
A00742:705:HGKLFDSX7:1:1122:23999:24361	367638	194469	+	-
A00742:705:HGKLFDSX7:1:1123:25527:14450	36418	196090	+	+
A00742:705:HGKLFDSX7:1:1124:18964:3521	140248	358741	+	+
A00742:705:HGKLFDSX7:1:1124:1750:11099	265938	49468	-	-
A00742:705:HGKLFDSX7:1:1124:20265:19648	349615	86491	+	-
A00742:705:HGKLFDSX7:1:1124:17427:32706	367720	272	+	-
A00742:705:HGKLFDSX7:1:1124:2248:32722	367616	194384	+	-
A00742:705:HGKLFDSX7:1:1124:1624:33364	367616	194384	+	-
A00742:705:HGKLFDSX7:1:1125:17110:20917	160343	239112	-	-
