Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1114:32117:21136	188283	188100	-	-	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1138:25545:17080	94474	93760	+	+	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1163:6253:1673	299864	300667	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1211:10140:14168	353151	352371	+	+	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1223:9064:27868	282730	282362	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1239:20491:20791	298932	299412	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1372:23710:19225	220972	220904	-	-	broken	17	full	NA
A00742:705:HGKLFDSX7:1:1515:21368:17268	144589	144428	-	-	full	NA	broken	5
A00742:705:HGKLFDSX7:1:1527:17309:21292	226012	226936	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1533:4643:20149	193722	193779	-	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1534:6705:2080	218454	218539	+	+	full	NA	broken	26
A00742:705:HGKLFDSX7:1:1617:3640:28902	288190	288476	-	-	broken	7	full	NA
A00742:705:HGKLFDSX7:1:1626:24532:18082	74481	74790	+	+	full	NA	broken	13
A00742:705:HGKLFDSX7:1:1677:31964:11882	192910	193395	-	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:2106:18747:2519	142784	143453	+	+	full	NA	broken	16
A00742:705:HGKLFDSX7:1:2109:16649:3114	106222	106607	+	+	partial	NA	partial	NA
A00742:705:HGKLFDSX7:1:2124:17020:27273	49345	49425	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:2142:29414:9596	232917	232598	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:2242:16170:28995	25178	25439	-	-	broken	7	full	NA
A00742:705:HGKLFDSX7:1:2265:21567:15608	243656	243940	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:2328:14651:15875	236384	236027	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2422:7084:35086	10263	10484	+	+	broken	4	full	NA
A00742:705:HGKLFDSX7:1:2444:6551:31939	33280	34171	-	-	broken	0	full	NA
A00742:705:HGKLFDSX7:1:2521:23231:24721	34408	34738	+	+	broken	2	full	NA
A00742:705:HGKLFDSX7:1:2620:32579:29324	268348	268553	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:2621:32452:23500	283556	283294	-	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:2625:13928:30248	95757	95694	-	-	broken	0	full	NA
A00742:705:HGKLFDSX7:1:2626:30147:23328	28200	28659	-	+	partial	NA	full	NA
