Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:15456:8187	194365	367635	-	+
A00742:705:HGKLFDSX7:1:1102:23285:35712	254546	58670	+	+
A00742:705:HGKLFDSX7:1:1105:13268:10473	321583	37101	-	-
A00742:705:HGKLFDSX7:1:1105:23945:13839	192	367673	-	+
A00742:705:HGKLFDSX7:1:1105:8594:20353	188	367610	-	+
A00742:705:HGKLFDSX7:1:1105:16884:34240	229207	63680	-	-
A00742:705:HGKLFDSX7:1:1106:16966:17159	181998	43011	+	+
A00742:705:HGKLFDSX7:1:1106:14877:24721	194245	367612	-	+
A00742:705:HGKLFDSX7:1:1108:7139:6245	194394	367557	-	+
A00742:705:HGKLFDSX7:1:1108:21757:23390	230	367716	-	+
A00742:705:HGKLFDSX7:1:1109:24207:2926	66726	269755	+	-
A00742:705:HGKLFDSX7:1:1110:26747:22983	49514	266027	-	-
A00742:705:HGKLFDSX7:1:1111:5249:13088	312	367752	-	+
A00742:705:HGKLFDSX7:1:1111:9091:16047	269445	67083	+	-
A00742:705:HGKLFDSX7:1:1111:8829:17347	269445	67083	+	-
A00742:705:HGKLFDSX7:1:1112:26096:15217	269476	67107	+	-
A00742:705:HGKLFDSX7:1:1112:26910:20384	110228	48891	+	+
A00742:705:HGKLFDSX7:1:1112:27444:20431	110228	48891	+	+
A00742:705:HGKLFDSX7:1:1112:27489:20979	110228	48891	+	+
A00742:705:HGKLFDSX7:1:1113:22489:1548	86	367406	-	+
A00742:705:HGKLFDSX7:1:1113:12454:7592	166721	167683	+	-
A00742:705:HGKLFDSX7:1:1113:9109:20556	367747	284	+	-
A00742:705:HGKLFDSX7:1:1113:10737:20619	367568	194283	+	-
A00742:705:HGKLFDSX7:1:1114:32117:21136	188283	188100	-	-
A00742:705:HGKLFDSX7:1:1114:11469:35728	163734	164831	+	-
A00742:705:HGKLFDSX7:1:1115:8341:10081	367585	194338	+	-
A00742:705:HGKLFDSX7:1:1115:2591:10113	367545	194349	+	-
A00742:705:HGKLFDSX7:1:1115:29197:31923	228928	64043	-	-
A00742:705:HGKLFDSX7:1:1115:10285:35587	367590	122	+	-
A00742:705:HGKLFDSX7:1:1116:2636:15671	20	367475	-	+
A00742:705:HGKLFDSX7:1:1116:11424:34115	340874	108224	+	+
A00742:705:HGKLFDSX7:1:1117:31584:2425	67903	109575	+	+
A00742:705:HGKLFDSX7:1:1117:17616:4257	259003	55033	+	+
A00742:705:HGKLFDSX7:1:1118:23592:10473	135059	258161	+	-
A00742:705:HGKLFDSX7:1:1118:23439:10488	135059	258161	+	-
A00742:705:HGKLFDSX7:1:1118:22471:24940	194582	367738	-	+
A00742:705:HGKLFDSX7:1:1118:22598:25567	194582	367738	-	+
A00742:705:HGKLFDSX7:1:1118:25229:31501	367595	93	+	-
A00742:705:HGKLFDSX7:1:1119:5710:12633	67091	269484	-	+
A00742:705:HGKLFDSX7:1:1119:4553:12759	67091	269484	-	+
A00742:705:HGKLFDSX7:1:1119:23131:32753	88	367532	-	+
A00742:705:HGKLFDSX7:1:1123:29342:16423	367574	328	+	-
A00742:705:HGKLFDSX7:1:1123:31114:17112	367574	328	+	-
A00742:705:HGKLFDSX7:1:1123:31593:17159	367574	194525	+	-
A00742:705:HGKLFDSX7:1:1123:21875:23500	211106	212597	+	-
A00742:705:HGKLFDSX7:1:1123:31946:28009	227146	164019	-	-
A00742:705:HGKLFDSX7:1:1123:13178:34679	304366	231359	-	+
A00742:705:HGKLFDSX7:1:1124:4318:1297	367654	146	+	-
A00742:705:HGKLFDSX7:1:1124:32063:14152	231173	304214	+	-
A00742:705:HGKLFDSX7:1:1124:32036:14951	231173	304214	+	-
A00742:705:HGKLFDSX7:1:1124:31620:22279	367576	105	+	-
A00742:705:HGKLFDSX7:1:1124:5999:22842	367509	145	+	-
A00742:705:HGKLFDSX7:1:1124:26847:29356	340874	108171	+	+
A00742:705:HGKLFDSX7:1:1124:16740:33802	367677	93	+	-
A00742:705:HGKLFDSX7:1:1125:24686:35446	194391	367632	-	+
A00742:705:HGKLFDSX7:1:1125:24731:35462	194	367632	-	+
A00742:705:HGKLFDSX7:1:1125:24758:35916	194391	367632	-	+
A00742:705:HGKLFDSX7:1:1126:10104:2018	367317	194244	+	-
A00742:705:HGKLFDSX7:1:1126:10827:2174	367317	194244	+	-
A00742:705:HGKLFDSX7:1:1127:13593:17644	67113	269484	-	+
A00742:705:HGKLFDSX7:1:1128:16649:3615	240	367615	-	+
A00742:705:HGKLFDSX7:1:1128:3034:4867	367541	194349	+	-
A00742:705:HGKLFDSX7:1:1128:8477:12540	194489	367719	-	+
A00742:705:HGKLFDSX7:1:1128:9950:14215	194489	367719	-	+
A00742:705:HGKLFDSX7:1:1128:15230:15655	194359	367639	-	+
A00742:705:HGKLFDSX7:1:1128:15185:15922	162	367639	-	+
A00742:705:HGKLFDSX7:1:1128:15329:15984	162	367639	-	+
A00742:705:HGKLFDSX7:1:1128:24496:23406	194400	367717	-	+
A00742:705:HGKLFDSX7:1:1128:20392:32205	222584	23607	+	+
A00742:705:HGKLFDSX7:1:1130:11758:10457	67111	269521	-	+
A00742:705:HGKLFDSX7:1:1130:9968:27242	63751	229029	-	-
A00742:705:HGKLFDSX7:1:1131:11460:3427	67033	269442	-	+
A00742:705:HGKLFDSX7:1:1131:19895:9298	252201	156236	-	-
A00742:705:HGKLFDSX7:1:1131:19976:10034	252201	156236	-	-
A00742:705:HGKLFDSX7:1:1131:5104:24205	156347	252130	-	-
A00742:705:HGKLFDSX7:1:1131:27344:31970	194329	367271	-	+
A00742:705:HGKLFDSX7:1:1132:29875:19413	229114	63655	-	-
A00742:705:HGKLFDSX7:1:1133:1868:4601	77313	170781	+	+
A00742:705:HGKLFDSX7:1:1133:11695:8813	200	367591	-	+
A00742:705:HGKLFDSX7:1:1133:18430:10175	187	367621	-	+
A00742:705:HGKLFDSX7:1:1133:15040:12821	358459	286885	+	-
A00742:705:HGKLFDSX7:1:1134:9417:13009	67136	269385	-	+
A00742:705:HGKLFDSX7:1:1134:29496:31939	340632	108291	+	+
A00742:705:HGKLFDSX7:1:1134:5312:35744	340851	108192	+	+
A00742:705:HGKLFDSX7:1:1135:31873:34835	190	367634	-	+
A00742:705:HGKLFDSX7:1:1136:27742:3223	367654	194393	+	-
A00742:705:HGKLFDSX7:1:1136:27498:4147	367654	194393	+	-
A00742:705:HGKLFDSX7:1:1136:18132:25003	194325	367574	-	+
A00742:705:HGKLFDSX7:1:1136:17734:36683	367685	174	+	-
A00742:705:HGKLFDSX7:1:1137:29785:1752	285193	223719	-	-
A00742:705:HGKLFDSX7:1:1137:10800:15843	367558	194283	+	-
A00742:705:HGKLFDSX7:1:1138:4607:1892	10	367488	-	+
A00742:705:HGKLFDSX7:1:1138:8721:6543	194284	367579	-	+
A00742:705:HGKLFDSX7:1:1138:25545:17080	94474	93760	+	+
A00742:705:HGKLFDSX7:1:1138:2130:19554	194325	367643	-	+
A00742:705:HGKLFDSX7:1:1138:2211:20102	128	367643	-	+
A00742:705:HGKLFDSX7:1:1138:11008:21809	108453	340644	+	+
A00742:705:HGKLFDSX7:1:1139:20989:12289	367581	53	+	-
A00742:705:HGKLFDSX7:1:1139:20690:12680	367581	194250	+	-
A00742:705:HGKLFDSX7:1:1139:31837:15546	367753	369	+	-
