Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:12717:4069	94020	25722	+	-
A00742:705:HGKLFDSX7:1:1101:22290:13135	89279	95830	-	+
A00742:705:HGKLFDSX7:1:1101:29206:17440	40927	16437	-	+
A00742:705:HGKLFDSX7:1:1101:5358:36511	3392	93973	-	+
A00742:705:HGKLFDSX7:1:1102:18593:9549	91926	99350	-	+
A00742:705:HGKLFDSX7:1:1102:5755:11303	84689	95299	-	+
A00742:705:HGKLFDSX7:1:1102:6370:11428	84689	95299	-	+
A00742:705:HGKLFDSX7:1:1102:20211:17143	108094	92191	-	-
A00742:705:HGKLFDSX7:1:1102:26422:17910	63916	93649	+	+
A00742:705:HGKLFDSX7:1:1102:9769:18912	85609	97828	+	-
A00742:705:HGKLFDSX7:1:1102:29848:20807	109373	37541	-	+
A00742:705:HGKLFDSX7:1:1102:7075:23202	104814	57945	+	+
A00742:705:HGKLFDSX7:1:1102:5484:29403	97043	96862	+	+
A00742:705:HGKLFDSX7:1:1102:4137:29763	97043	96862	+	+
A00742:705:HGKLFDSX7:1:1103:18249:1595	58830	123164	-	-
A00742:705:HGKLFDSX7:1:1103:26060:4820	79102	46666	+	-
A00742:705:HGKLFDSX7:1:1103:10022:5509	94232	109883	+	-
A00742:705:HGKLFDSX7:1:1103:23258:7388	35798	76120	+	-
A00742:705:HGKLFDSX7:1:1103:1515:9721	108075	102714	+	+
A00742:705:HGKLFDSX7:1:1103:4490:21292	120355	118843	-	-
A00742:705:HGKLFDSX7:1:1103:32777:22592	8805	16097	+	-
A00742:705:HGKLFDSX7:1:1103:16152:35258	100543	2697	-	-
A00742:705:HGKLFDSX7:1:1103:28628:36761	46895	19920	-	-
A00742:705:HGKLFDSX7:1:1104:1651:15060	48738	89324	+	+
A00742:705:HGKLFDSX7:1:1104:3360:19523	4581	82420	-	+
A00742:705:HGKLFDSX7:1:1104:20401:19946	27377	112099	+	-
A00742:705:HGKLFDSX7:1:1104:15013:20603	107808	90248	+	+
A00742:705:HGKLFDSX7:1:1104:15130:29418	112788	51997	+	+
A00742:705:HGKLFDSX7:1:1105:16288:2644	97661	19686	+	+
A00742:705:HGKLFDSX7:1:1105:29568:4069	28758	108048	-	-
A00742:705:HGKLFDSX7:1:1105:32253:29199	85488	68073	+	+
A00742:705:HGKLFDSX7:1:1105:26820:31187	35013	30938	+	-
A00742:705:HGKLFDSX7:1:1105:29460:31720	90290	47441	-	+
A00742:705:HGKLFDSX7:1:1106:6162:5807	71800	95390	-	-
A00742:705:HGKLFDSX7:1:1106:22914:6574	54375	60529	+	+
A00742:705:HGKLFDSX7:1:1107:2935:3912	102608	73197	-	-
A00742:705:HGKLFDSX7:1:1107:11315:4523	113695	50104	-	-
A00742:705:HGKLFDSX7:1:1107:11379:4664	113695	50104	-	-
A00742:705:HGKLFDSX7:1:1107:6262:6386	76641	51847	-	-
A00742:705:HGKLFDSX7:1:1107:19126:6997	96178	73362	-	-
A00742:705:HGKLFDSX7:1:1107:26521:8343	85813	107216	-	+
A00742:705:HGKLFDSX7:1:1107:10285:25817	125508	125609	+	+
A00742:705:HGKLFDSX7:1:1107:31015:29121	5434	105933	-	+
A00742:705:HGKLFDSX7:1:1107:32009:31156	5434	105933	-	+
A00742:705:HGKLFDSX7:1:1108:32434:6464	5128	119234	-	+
A00742:705:HGKLFDSX7:1:1108:24542:12962	84776	82674	-	-
A00742:705:HGKLFDSX7:1:1108:25409:13964	54818	81580	+	+
A00742:705:HGKLFDSX7:1:1108:25446:14027	54818	81580	+	+
A00742:705:HGKLFDSX7:1:1108:27760:15311	84829	79682	-	+
A00742:705:HGKLFDSX7:1:1108:4779:17347	16444	29895	-	+
A00742:705:HGKLFDSX7:1:1108:22173:23766	24194	28773	-	-
A00742:705:HGKLFDSX7:1:1108:30617:26365	127672	12432	-	+
A00742:705:HGKLFDSX7:1:1108:19190:28025	5766	86841	-	-
A00742:705:HGKLFDSX7:1:1108:19117:28056	5766	86841	-	-
A00742:705:HGKLFDSX7:1:1108:19289:28103	5766	86841	-	-
A00742:705:HGKLFDSX7:1:1108:29062:28588	101318	25494	+	+
A00742:705:HGKLFDSX7:1:1108:8901:31438	80716	91736	+	-
A00742:705:HGKLFDSX7:1:1108:13774:32393	73528	95647	-	-
A00742:705:HGKLFDSX7:1:1108:14579:32440	73528	95647	-	-
A00742:705:HGKLFDSX7:1:1108:22516:32628	99162	75750	-	+
A00742:705:HGKLFDSX7:1:1108:14380:32659	73528	95647	-	-
A00742:705:HGKLFDSX7:1:1109:7310:10207	26068	101561	+	-
A00742:705:HGKLFDSX7:1:1109:11478:16517	80082	98213	-	-
A00742:705:HGKLFDSX7:1:1109:9127:18333	122213	53311	+	-
A00742:705:HGKLFDSX7:1:1109:22842:27555	84860	26	-	-
A00742:705:HGKLFDSX7:1:1109:23050:27821	84860	26	-	-
A00742:705:HGKLFDSX7:1:1109:27453:28839	40396	32413	-	-
