Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:4309:2503	70848	95881	-	+
A00742:705:HGKLFDSX7:1:1101:10285:3020	93338	93287	+	-
A00742:705:HGKLFDSX7:1:1101:10095:3129	93338	93287	+	-
A00742:705:HGKLFDSX7:1:1101:15872:4022	114094	81239	-	-
A00742:705:HGKLFDSX7:1:1101:21947:4429	60084	105206	+	-
A00742:705:HGKLFDSX7:1:1101:9462:4445	117869	125493	-	-
A00742:705:HGKLFDSX7:1:1101:21965:4460	60084	105206	+	-
A00742:705:HGKLFDSX7:1:1101:8721:4633	117869	125493	-	-
A00742:705:HGKLFDSX7:1:1101:30147:4225	8312	8438	+	+
A00742:705:HGKLFDSX7:1:1101:6117:5447	32868	105152	+	-
A00742:705:HGKLFDSX7:1:1101:15257:9157	83060	78607	+	-
A00742:705:HGKLFDSX7:1:1101:6650:14544	60143	60258	-	+
A00742:705:HGKLFDSX7:1:1101:19425:15687	96943	11918	-	-
A00742:705:HGKLFDSX7:1:1101:14100:18897	102665	25786	+	+
A00742:705:HGKLFDSX7:1:1101:9299:23766	85334	14574	-	+
A00742:705:HGKLFDSX7:1:1101:17779:24048	88595	103554	-	-
A00742:705:HGKLFDSX7:1:1101:9136:26584	18731	18756	-	+
A00742:705:HGKLFDSX7:1:1101:31051:26710	63177	59381	+	-
A00742:705:HGKLFDSX7:1:1101:8983:26788	63836	120009	-	-
A00742:705:HGKLFDSX7:1:1101:20320:30765	85591	86188	-	+
A00742:705:HGKLFDSX7:1:1101:16477:33536	70544	70105	+	+
A00742:705:HGKLFDSX7:1:1101:16486:33739	70544	70105	+	+
A00742:705:HGKLFDSX7:1:1101:26521:35399	91099	95087	-	+
A00742:705:HGKLFDSX7:1:1101:16495:35477	70544	70105	+	+
A00742:705:HGKLFDSX7:1:1102:4291:1501	119700	10428	-	+
A00742:705:HGKLFDSX7:1:1102:22887:3364	8397	3637	+	-
A00742:705:HGKLFDSX7:1:1102:5095:4523	99161	110449	+	-
A00742:705:HGKLFDSX7:1:1102:6560:5713	63447	49335	-	-
A00742:705:HGKLFDSX7:1:1102:1298:5963	20092	20451	-	+
A00742:705:HGKLFDSX7:1:1102:1262:5963	20092	20451	-	+
A00742:705:HGKLFDSX7:1:1102:32018:6402	104041	101449	+	+
A00742:705:HGKLFDSX7:1:1102:1298:7717	34246	102852	-	+
A00742:705:HGKLFDSX7:1:1102:2971:9549	70341	69893	+	+
A00742:705:HGKLFDSX7:1:1102:7464:12947	91362	23837	+	+
A00742:705:HGKLFDSX7:1:1102:17942:13150	96852	64491	+	+
A00742:705:HGKLFDSX7:1:1102:21106:17033	10422	10477	-	+
A00742:705:HGKLFDSX7:1:1102:21115:17080	10422	10477	-	+
A00742:705:HGKLFDSX7:1:1102:21160:17253	17174	95998	-	+
A00742:705:HGKLFDSX7:1:1102:21811:17440	6885	4897	+	-
A00742:705:HGKLFDSX7:1:1102:22218:18114	10422	10477	-	+
A00742:705:HGKLFDSX7:1:1102:3965:19038	115569	115983	+	+
A00742:705:HGKLFDSX7:1:1102:28447:21731	43154	24514	+	-
A00742:705:HGKLFDSX7:1:1102:29469:22153	43154	24514	+	-
A00742:705:HGKLFDSX7:1:1102:24849:22733	9252	2481	+	-
A00742:705:HGKLFDSX7:1:1102:28800:23625	121146	121360	+	+
A00742:705:HGKLFDSX7:1:1102:21323:23954	71104	70000	+	+
A00742:705:HGKLFDSX7:1:1102:26142:24408	10386	7426	+	+
A00742:705:HGKLFDSX7:1:1102:15185:26036	45843	77587	-	+
A00742:705:HGKLFDSX7:1:1102:3396:26631	96517	96126	+	-
A00742:705:HGKLFDSX7:1:1102:14335:28667	11727	70305	+	-
A00742:705:HGKLFDSX7:1:1102:14235:28870	11727	70305	+	-
A00742:705:HGKLFDSX7:1:1102:15402:33520	59729	102644	+	+
A00742:705:HGKLFDSX7:1:1102:11840:33583	88324	87996	+	+
A00742:705:HGKLFDSX7:1:1102:5981:36245	25898	9436	+	+
A00742:705:HGKLFDSX7:1:1102:22715:36511	15370	15001	+	+
A00742:705:HGKLFDSX7:1:1102:21694:36746	15370	15001	+	+
A00742:705:HGKLFDSX7:1:1103:20003:2002	57742	112438	+	+
A00742:705:HGKLFDSX7:1:1103:25391:2065	15370	15001	+	+
A00742:705:HGKLFDSX7:1:1103:19135:2754	10543	9867	+	+
A00742:705:HGKLFDSX7:1:1103:19108:2832	10543	9867	+	+
A00742:705:HGKLFDSX7:1:1103:23014:4742	111767	109745	+	-
A00742:705:HGKLFDSX7:1:1103:17517:5713	95932	11038	+	+
A00742:705:HGKLFDSX7:1:1103:13973:11381	87712	43285	-	+
A00742:705:HGKLFDSX7:1:1103:6216:11819	4272	4399	-	-
A00742:705:HGKLFDSX7:1:1103:24008:12258	9946	124324	+	+
A00742:705:HGKLFDSX7:1:1103:14624:13917	87786	77844	+	-
A00742:705:HGKLFDSX7:1:1103:7491:18630	47954	47917	+	-
A00742:705:HGKLFDSX7:1:1103:26368:22482	93082	93184	-	+
A00742:705:HGKLFDSX7:1:1103:22046:22670	89289	88018	-	-
A00742:705:HGKLFDSX7:1:1103:30662:28228	56794	61847	+	-
A00742:705:HGKLFDSX7:1:1103:6732:28870	119700	8350	-	-
A00742:705:HGKLFDSX7:1:1103:22525:29512	4403	7248	-	+
A00742:705:HGKLFDSX7:1:1103:6316:29841	119700	8350	-	-
A00742:705:HGKLFDSX7:1:1103:6379:29857	119700	8350	-	-
A00742:705:HGKLFDSX7:1:1103:7554:30671	87952	110858	-	-
A00742:705:HGKLFDSX7:1:1103:21386:31109	109404	125661	-	+
A00742:705:HGKLFDSX7:1:1103:16504:31735	28112	14303	+	+
A00742:705:HGKLFDSX7:1:1103:22779:32017	109404	125661	-	+
A00742:705:HGKLFDSX7:1:1103:28393:32189	57004	56203	+	-
A00742:705:HGKLFDSX7:1:1103:11062:32362	71375	72044	-	+
A00742:705:HGKLFDSX7:1:1103:28420:33144	57004	56203	+	-
A00742:705:HGKLFDSX7:1:1103:2908:33802	15851	51503	-	-
A00742:705:HGKLFDSX7:1:1103:12789:35070	126209	38972	-	+
A00742:705:HGKLFDSX7:1:1103:15998:35086	4543	4001	+	-
A00742:705:HGKLFDSX7:1:1103:16731:35822	4543	4001	+	-
A00742:705:HGKLFDSX7:1:1104:7952:3991	68997	69436	-	+
A00742:705:HGKLFDSX7:1:1104:21233:5384	9475	117393	-	-
A00742:705:HGKLFDSX7:1:1104:21676:5713	9475	117393	-	-
A00742:705:HGKLFDSX7:1:1104:30608:5744	106746	33899	+	-
A00742:705:HGKLFDSX7:1:1104:12924:7498	66328	66331	-	+
A00742:705:HGKLFDSX7:1:1104:11514:9314	12571	62117	-	+
A00742:705:HGKLFDSX7:1:1104:24496:11569	10668	2738	+	-
A00742:705:HGKLFDSX7:1:1104:31801:11788	61302	59437	+	-
A00742:705:HGKLFDSX7:1:1104:25373:13213	47817	47814	+	-
A00742:705:HGKLFDSX7:1:1104:32443:14559	32139	33783	-	-
A00742:705:HGKLFDSX7:1:1104:28465:14716	56536	62122	+	-
A00742:705:HGKLFDSX7:1:1104:17852:15123	3694	115317	-	+
A00742:705:HGKLFDSX7:1:1104:8947:16203	40566	38844	+	-
A00742:705:HGKLFDSX7:1:1104:12427:19852	91544	92459	+	+
A00742:705:HGKLFDSX7:1:1104:4128:20415	121545	121148	+	-
A00742:705:HGKLFDSX7:1:1104:6976:21026	70468	70198	+	+
