Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:26277:2722	48100	83635	+	-
A00742:705:HGKLFDSX7:1:1101:26169:2816	48100	83635	+	-
A00742:705:HGKLFDSX7:1:1101:7970:12602	26804	55108	-	-
A00742:705:HGKLFDSX7:1:1101:19434:27508	89002	22797	-	-
A00742:705:HGKLFDSX7:1:1101:7826:31078	52998	107833	-	+
A00742:705:HGKLFDSX7:1:1101:12029:35258	30315	57041	-	-
A00742:705:HGKLFDSX7:1:1102:27010:10316	45655	85154	+	+
A00742:705:HGKLFDSX7:1:1102:25834:25473	123842	12930	+	-
A00742:705:HGKLFDSX7:1:1102:15393:28933	35809	104976	+	+
A00742:705:HGKLFDSX7:1:1102:1371:34021	50381	114707	-	+
A00742:705:HGKLFDSX7:1:1102:1750:34178	50381	114707	-	+
A00742:705:HGKLFDSX7:1:1102:25825:35383	75366	49888	+	+
A00742:705:HGKLFDSX7:1:1103:15709:2644	24618	29337	-	-
A00742:705:HGKLFDSX7:1:1103:23656:4194	29682	28438	-	-
A00742:705:HGKLFDSX7:1:1103:16758:9001	84494	50929	-	-
A00742:705:HGKLFDSX7:1:1103:24786:10441	97169	59435	+	-
A00742:705:HGKLFDSX7:1:1103:2528:11600	34380	31666	-	-
A00742:705:HGKLFDSX7:1:1103:9769:17033	54075	92587	-	-
A00742:705:HGKLFDSX7:1:1103:31087:22858	27215	52078	-	-
A00742:705:HGKLFDSX7:1:1103:16541:33614	40456	76799	+	+
A00742:705:HGKLFDSX7:1:1103:16324:34773	87222	87483	-	+
A00742:705:HGKLFDSX7:1:1104:14850:8923	34783	41707	+	-
A00742:705:HGKLFDSX7:1:1104:19370:11209	10534	16178	-	+
A00742:705:HGKLFDSX7:1:1104:4580:19695	20724	116149	-	+
A00742:705:HGKLFDSX7:1:1104:9941:21339	111492	92709	+	+
A00742:705:HGKLFDSX7:1:1104:16369:33943	51945	73406	-	+
A00742:705:HGKLFDSX7:1:1105:16685:10410	2048	29496	-	-
A00742:705:HGKLFDSX7:1:1105:19958:11256	2048	29496	-	-
A00742:705:HGKLFDSX7:1:1105:18439:12226	2048	29496	-	-
A00742:705:HGKLFDSX7:1:1105:19036:14951	881	1299	-	+
A00742:705:HGKLFDSX7:1:1105:20220:17159	86984	49264	-	+
A00742:705:HGKLFDSX7:1:1105:6081:22545	94301	113358	+	-
A00742:705:HGKLFDSX7:1:1105:14244:32330	108264	108439	+	+
A00742:705:HGKLFDSX7:1:1105:1325:33661	50548	55392	-	-
A00742:705:HGKLFDSX7:1:1105:5981:34835	122011	78393	-	-
A00742:705:HGKLFDSX7:1:1105:5240:34835	122011	78393	-	-
A00742:705:HGKLFDSX7:1:1106:6632:18145	60360	103321	-	-
A00742:705:HGKLFDSX7:1:1107:6008:2910	105579	78490	+	-
A00742:705:HGKLFDSX7:1:1107:31810:21073	105317	31353	+	+
A00742:705:HGKLFDSX7:1:1107:31919:30499	62328	11441	+	-
A00742:705:HGKLFDSX7:1:1108:31403:5337	90403	126422	+	-
A00742:705:HGKLFDSX7:1:1108:13729:12148	85150	112915	-	+
A00742:705:HGKLFDSX7:1:1108:24379:20259	24847	105533	-	+
A00742:705:HGKLFDSX7:1:1108:23321:21715	24847	105533	-	+
A00742:705:HGKLFDSX7:1:1108:12635:35744	67038	90649	+	+
A00742:705:HGKLFDSX7:1:1109:16568:9111	88319	49436	+	+
A00742:705:HGKLFDSX7:1:1109:10438:9987	101621	25742	+	-
A00742:705:HGKLFDSX7:1:1109:28800:10911	7742	90422	-	-
A00742:705:HGKLFDSX7:1:1109:4010:13416	91891	22343	+	-
A00742:705:HGKLFDSX7:1:1109:14082:16830	73518	75915	+	-
A00742:705:HGKLFDSX7:1:1109:11171:34898	118948	119432	-	-
A00742:705:HGKLFDSX7:1:1110:2582:1830	98983	49689	+	+
A00742:705:HGKLFDSX7:1:1110:2600:1861	98983	49689	+	+
A00742:705:HGKLFDSX7:1:1110:22173:14309	10253	12074	-	-
A00742:705:HGKLFDSX7:1:1110:14850:26021	100952	95048	-	-
A00742:705:HGKLFDSX7:1:1110:18584:26256	113510	113773	+	+
A00742:705:HGKLFDSX7:1:1110:31747:33051	100278	16868	-	+
A00742:705:HGKLFDSX7:1:1110:6940:36151	3086	33007	-	+
A00742:705:HGKLFDSX7:1:1111:4047:15264	96860	88369	-	+
A00742:705:HGKLFDSX7:1:1111:3115:28588	63564	3717	+	+
A00742:705:HGKLFDSX7:1:1112:3622:3850	76692	43185	+	-
A00742:705:HGKLFDSX7:1:1112:4336:4805	76692	43185	+	-
A00742:705:HGKLFDSX7:1:1112:4824:4899	76692	43185	+	-
A00742:705:HGKLFDSX7:1:1112:9317:5259	80202	102866	+	-
A00742:705:HGKLFDSX7:1:1112:15203:24064	102466	107351	-	-
A00742:705:HGKLFDSX7:1:1112:12310:25629	4689	97042	-	+
A00742:705:HGKLFDSX7:1:1112:20012:35524	79581	84001	-	+
A00742:705:HGKLFDSX7:1:1113:17047:20682	97859	48308	-	-
A00742:705:HGKLFDSX7:1:1113:18918:30154	66581	78423	-	-
A00742:705:HGKLFDSX7:1:1114:4734:2957	86099	93800	+	-
A00742:705:HGKLFDSX7:1:1114:6506:7529	44760	98998	+	+
A00742:705:HGKLFDSX7:1:1114:20256:12868	77924	114629	+	+
A00742:705:HGKLFDSX7:1:1114:20003:13056	77924	114629	+	+
A00742:705:HGKLFDSX7:1:1114:28366:16955	39715	65479	+	-
A00742:705:HGKLFDSX7:1:1114:6451:24909	22271	4502	+	+
A00742:705:HGKLFDSX7:1:1114:6406:24925	22271	4502	+	+
A00742:705:HGKLFDSX7:1:1114:2736:36292	2244	77271	-	+
A00742:705:HGKLFDSX7:1:1115:12093:8938	78170	6682	+	+
A00742:705:HGKLFDSX7:1:1115:2428:9236	5639	9684	+	-
A00742:705:HGKLFDSX7:1:1115:9254:24721	109461	70899	+	-
A00742:705:HGKLFDSX7:1:1115:28510:28948	102345	8409	+	+
A00742:705:HGKLFDSX7:1:1115:5764:32017	53403	87793	-	-
A00742:705:HGKLFDSX7:1:1116:15302:8202	21062	38905	+	+
A00742:705:HGKLFDSX7:1:1116:14931:8375	21062	38905	+	+
A00742:705:HGKLFDSX7:1:1116:14922:8390	21062	38905	+	+
A00742:705:HGKLFDSX7:1:1116:3640:8547	10700	99732	-	-
A00742:705:HGKLFDSX7:1:1116:3649:8625	10700	99732	-	-
A00742:705:HGKLFDSX7:1:1116:21757:15906	124166	69818	-	+
A00742:705:HGKLFDSX7:1:1116:15736:24048	119486	4381	-	-
A00742:705:HGKLFDSX7:1:1116:23185:25113	46436	81165	-	+
A00742:705:HGKLFDSX7:1:1116:29071:29011	122309	57305	+	-
A00742:705:HGKLFDSX7:1:1116:29026:29653	122309	57305	+	-
A00742:705:HGKLFDSX7:1:1117:28140:1626	68954	27813	+	-
A00742:705:HGKLFDSX7:1:1117:23972:3490	5748	43435	+	+
A00742:705:HGKLFDSX7:1:1117:4960:10708	17304	106844	-	+
A00742:705:HGKLFDSX7:1:1117:8847:13275	30762	89064	+	-
A00742:705:HGKLFDSX7:1:1117:9164:13385	30762	89064	+	-
A00742:705:HGKLFDSX7:1:1117:8712:13823	30762	89064	+	-
A00742:705:HGKLFDSX7:1:1117:17237:16908	49931	51473	-	+
A00742:705:HGKLFDSX7:1:1117:8847:18912	4606	121540	-	+
A00742:705:HGKLFDSX7:1:1118:32551:15781	91094	5514	+	-
A00742:705:HGKLFDSX7:1:1118:32805:16094	91094	5514	+	-
A00742:705:HGKLFDSX7:1:1118:24605:18928	86958	49365	+	-
A00742:705:HGKLFDSX7:1:1118:27344:19507	104773	102801	-	+
A00742:705:HGKLFDSX7:1:1118:23294:19820	83960	120312	-	+
A00742:705:HGKLFDSX7:1:1118:25093:27445	116044	97600	-	-
A00742:705:HGKLFDSX7:1:1118:24650:27524	116044	97600	-	-
A00742:705:HGKLFDSX7:1:1118:11143:27837	97550	8624	+	-
A00742:705:HGKLFDSX7:1:1118:11153:27853	97550	8624	+	-
A00742:705:HGKLFDSX7:1:1119:12472:2832	117569	118575	-	-
A00742:705:HGKLFDSX7:1:1119:12219:3583	117569	118575	-	-
A00742:705:HGKLFDSX7:1:1119:23900:4679	88222	56338	+	-
A00742:705:HGKLFDSX7:1:1119:25319:7764	89602	4924	-	-
A00742:705:HGKLFDSX7:1:1119:12879:25269	54418	32568	+	-
A00742:705:HGKLFDSX7:1:1119:30454:36793	27673	90679	-	+
A00742:705:HGKLFDSX7:1:1120:23167:3568	108044	108252	-	+
A00742:705:HGKLFDSX7:1:1120:20202:19319	37320	87245	-	+
A00742:705:HGKLFDSX7:1:1120:20166:19351	37320	87245	-	+
A00742:705:HGKLFDSX7:1:1120:10447:26318	87699	20824	+	-
A00742:705:HGKLFDSX7:1:1120:32325:36558	89281	47086	-	+
A00742:705:HGKLFDSX7:1:1120:32470:36746	89281	47086	-	+
A00742:705:HGKLFDSX7:1:1121:21377:8234	51924	53752	-	+
A00742:705:HGKLFDSX7:1:1121:21314:22936	117449	90785	-	+
A00742:705:HGKLFDSX7:1:1121:30770:29356	5541	93053	+	+
A00742:705:HGKLFDSX7:1:1121:30725:35321	126959	55381	-	+
A00742:705:HGKLFDSX7:1:1122:25337:3317	96910	60491	-	-
A00742:705:HGKLFDSX7:1:1122:5629:16939	25450	119540	-	+
A00742:705:HGKLFDSX7:1:1122:31123:18443	48811	47974	+	-
A00742:705:HGKLFDSX7:1:1122:32732:22044	39885	111579	-	+
A00742:705:HGKLFDSX7:1:1122:3332:27743	81112	82220	+	-
A00742:705:HGKLFDSX7:1:1122:28474:31391	113887	80289	-	+
A00742:705:HGKLFDSX7:1:1122:28655:32330	113887	80289	-	+
A00742:705:HGKLFDSX7:1:1122:25717:32628	21141	97448	+	+
A00742:705:HGKLFDSX7:1:1123:20989:34554	47869	79240	+	+
A00742:705:HGKLFDSX7:1:1124:17011:3771	107302	99568	-	-
