Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand
A00742:705:HGKLFDSX7:1:1101:18557:5509	83531	46531	-	+
A00742:705:HGKLFDSX7:1:1101:18575:5948	83531	46531	-	+
A00742:705:HGKLFDSX7:1:1101:9010:6230	4355	7346	-	+
A00742:705:HGKLFDSX7:1:1101:28185:7999	57088	61347	+	-
A00742:705:HGKLFDSX7:1:1101:11948:9189	95365	22344	+	+
A00742:705:HGKLFDSX7:1:1101:29414:11412	57088	61347	+	-
A00742:705:HGKLFDSX7:1:1101:16857:11772	9206	61263	+	+
A00742:705:HGKLFDSX7:1:1101:21305:13338	10388	7591	+	+
A00742:705:HGKLFDSX7:1:1101:19235:15515	62811	32003	+	+
A00742:705:HGKLFDSX7:1:1101:10547:21136	10655	41063	-	+
A00742:705:HGKLFDSX7:1:1101:20555:21214	115987	115676	+	+
A00742:705:HGKLFDSX7:1:1101:16288:26162	315	27701	+	+
A00742:705:HGKLFDSX7:1:1101:16378:26193	315	27701	+	+
A00742:705:HGKLFDSX7:1:1101:12861:28588	18993	128105	-	-
A00742:705:HGKLFDSX7:1:1101:14109:32784	102394	103563	+	-
A00742:705:HGKLFDSX7:1:1101:24261:32894	115592	115935	+	+
A00742:705:HGKLFDSX7:1:1101:13693:34663	102394	103563	+	-
A00742:705:HGKLFDSX7:1:1101:13675:34726	102394	103563	+	-
A00742:705:HGKLFDSX7:1:1101:6352:35258	56319	94051	-	+
A00742:705:HGKLFDSX7:1:1101:8449:35571	69997	84205	-	+
A00742:705:HGKLFDSX7:1:1102:22435:5744	2013	7873	-	+
A00742:705:HGKLFDSX7:1:1102:19379:5807	822	3364	-	-
A00742:705:HGKLFDSX7:1:1102:19325:6026	822	3364	-	-
A00742:705:HGKLFDSX7:1:1102:27163:12994	65615	65773	-	-
A00742:705:HGKLFDSX7:1:1102:15176:13808	42763	100138	-	-
A00742:705:HGKLFDSX7:1:1102:16749:14340	51627	53724	-	-
A00742:705:HGKLFDSX7:1:1102:11803:15264	4132	15684	-	+
A00742:705:HGKLFDSX7:1:1102:6524:15483	56897	56793	-	-
A00742:705:HGKLFDSX7:1:1102:23086:18865	24210	26142	+	+
A00742:705:HGKLFDSX7:1:1102:3034:25034	8693	5744	+	+
A00742:705:HGKLFDSX7:1:1102:29451:28667	35490	26044	-	+
A00742:705:HGKLFDSX7:1:1102:29225:28776	35490	26044	-	+
A00742:705:HGKLFDSX7:1:1103:21323:2503	68291	45522	-	-
A00742:705:HGKLFDSX7:1:1103:23502:2707	67246	114473	+	+
A00742:705:HGKLFDSX7:1:1103:22634:2707	67246	114473	+	+
A00742:705:HGKLFDSX7:1:1103:9670:3396	82729	125006	+	+
A00742:705:HGKLFDSX7:1:1103:12635:7560	8721	5684	+	-
A00742:705:HGKLFDSX7:1:1103:1976:8954	531	68399	-	+
A00742:705:HGKLFDSX7:1:1103:1922:9204	531	68399	-	+
A00742:705:HGKLFDSX7:1:1103:9073:13855	107039	93574	-	+
A00742:705:HGKLFDSX7:1:1103:9851:15890	61815	126034	+	+
A00742:705:HGKLFDSX7:1:1103:26892:18223	22416	70567	-	+
A00742:705:HGKLFDSX7:1:1103:26377:19492	105419	58286	-	+
A00742:705:HGKLFDSX7:1:1103:12373:24267	3032	3253	-	-
A00742:705:HGKLFDSX7:1:1103:18954:27273	116536	51478	+	+
A00742:705:HGKLFDSX7:1:1103:4707:30154	103220	23772	-	-
A00742:705:HGKLFDSX7:1:1103:11505:33786	4145	4507	-	-
A00742:705:HGKLFDSX7:1:1104:10041:3129	39243	95479	-	+
A00742:705:HGKLFDSX7:1:1104:9028:3161	39243	95479	-	+
A00742:705:HGKLFDSX7:1:1104:14950:3709	67785	62757	-	+
A00742:705:HGKLFDSX7:1:1104:15112:4679	67785	62757	-	+
A00742:705:HGKLFDSX7:1:1104:16866:9157	3840	86527	-	-
A00742:705:HGKLFDSX7:1:1104:19578:12226	68330	60462	-	-
A00742:705:HGKLFDSX7:1:1104:14579:13213	71376	69134	+	-
A00742:705:HGKLFDSX7:1:1104:25093:13448	92773	42580	-	+
A00742:705:HGKLFDSX7:1:1104:9570:15655	2441	6041	-	+
A00742:705:HGKLFDSX7:1:1104:17020:16313	82404	39324	+	-
A00742:705:HGKLFDSX7:1:1104:16712:16344	82404	39324	+	-
A00742:705:HGKLFDSX7:1:1104:22272:16892	1641	55928	+	+
A00742:705:HGKLFDSX7:1:1104:8458:26725	95002	90580	+	+
A00742:705:HGKLFDSX7:1:1104:18276:29637	59816	56869	+	-
