Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1101:25274:3521	6271	6111	+	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1101:14091:18004	66019	65844	+	-	partial	NA	partial	NA
A00742:705:HGKLFDSX7:1:1101:25464:18944	33220	33118	-	-	broken	7	broken	7
A00742:705:HGKLFDSX7:1:1101:4779:28714	62935	62239	-	-	broken	4	partial	NA
A00742:705:HGKLFDSX7:1:1101:10737:32550	4111	4604	-	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1102:29252:19930	47794	47828	-	+	broken	82	broken	104
A00742:705:HGKLFDSX7:1:1102:3323:24189	38706	39265	-	-	broken	16	partial	NA
A00742:705:HGKLFDSX7:1:1102:32642:29215	93208	92542	+	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1102:12780:36996	10607	10429	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1103:8260:3521	47867	47832	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1103:1741:8954	56826	56935	-	+	full	NA	broken	25
A00742:705:HGKLFDSX7:1:1103:29369:23860	70312	70033	+	+	broken	10	full	NA
A00742:705:HGKLFDSX7:1:1104:16423:11271	83780	84171	+	+	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1104:4137:26381	47818	47816	+	-	full	NA	broken	148
A00742:705:HGKLFDSX7:1:1104:3739:31172	95065	95599	+	+	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1104:3441:32377	102567	102621	-	+	full	NA	broken	4
A00742:705:HGKLFDSX7:1:1104:13241:33692	37556	37659	+	+	partial	NA	broken	8
A00742:705:HGKLFDSX7:1:1104:2745:34084	47816	47963	-	+	broken	148	broken	67
A00742:705:HGKLFDSX7:1:1105:29866:6684	89007	89219	-	+	full	NA	broken	6
A00742:705:HGKLFDSX7:1:1105:13865:15139	47820	47882	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1105:13160:33739	4324	4039	-	-	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1106:26775:3114	7846	6897	-	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1106:11107:5885	47958	47848	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1106:27172:6370	7724	7487	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1106:5339:8860	67110	66659	-	-	full	NA	broken	19
A00742:705:HGKLFDSX7:1:1106:8639:13730	3452	3672	-	-	complex	NA	full	NA
A00742:705:HGKLFDSX7:1:1106:16667:14732	117468	118266	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1106:10755:21371	43594	44591	-	-	full	NA	broken	16
A00742:705:HGKLFDSX7:1:1106:26964:24048	115787	115888	+	+	broken	25	full	NA
A00742:705:HGKLFDSX7:1:1106:22372:28557	115408	116224	-	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1106:9381:32049	74206	74620	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1106:12626:32440	47944	48163	-	+	broken	30	broken	30
A00742:705:HGKLFDSX7:1:1106:16523:32957	9561	9693	+	+	partial	NA	broken	50
A00742:705:HGKLFDSX7:1:1107:5927:10692	47779	47788	-	+	complex	NA	broken	71
A00742:705:HGKLFDSX7:1:1107:18927:20431	47786	47434	+	+	broken	21	full	NA
A00742:705:HGKLFDSX7:1:1107:14705:25238	111959	111831	-	-	partial	NA	broken	32
A00742:705:HGKLFDSX7:1:1108:27335:7874	20369	19583	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1108:13259:9862	91426	90497	+	+	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1108:3278:10488	4115	4518	-	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1109:10312:3756	56616	56717	-	+	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1109:20311:11209	78226	78535	-	+	broken	4	broken	4
A00742:705:HGKLFDSX7:1:1109:22128:16861	14462	13845	+	+	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1109:13304:19116	65073	65100	-	-	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1109:23701:28291	53850	53078	+	-	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1109:30743:29371	94421	93453	+	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1110:16369:1313	87270	87099	-	-	full	NA	broken	9
A00742:705:HGKLFDSX7:1:1110:4020:4006	51357	51083	-	-	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1110:27462:4147	47965	47999	-	+	broken	117	broken	117
A00742:705:HGKLFDSX7:1:1110:11306:8672	39499	38984	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1110:12382:13667	74862	74690	-	-	full	NA	broken	3
A00742:705:HGKLFDSX7:1:1110:2211:17848	95773	95919	+	+	full	NA	broken	55
A00742:705:HGKLFDSX7:1:1110:32099:21981	47857	47937	-	+	full	NA	broken	112
A00742:705:HGKLFDSX7:1:1110:20048:36245	11950	12147	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1111:12997:13416	59502	58783	+	-	full	NA	broken	13
A00742:705:HGKLFDSX7:1:1111:2193:21512	80277	79360	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1111:32624:28087	94559	94704	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1111:23565:32095	90986	90695	+	+	broken	19	full	NA
A00742:705:HGKLFDSX7:1:1111:22110:33144	55568	55728	-	+	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1111:29767:33505	115753	116001	+	+	full	NA	broken	25
A00742:705:HGKLFDSX7:1:1111:2763:35869	91970	91483	+	-	full	NA	broken	6
A00742:705:HGKLFDSX7:1:1112:20717:7185	32218	31590	+	+	full	NA	broken	16
A00742:705:HGKLFDSX7:1:1112:4815:8234	31207	30328	-	-	full	NA	broken	18
A00742:705:HGKLFDSX7:1:1112:31322:13620	26118	26833	-	+	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1112:32967:21261	64703	64174	-	-	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1112:7066:22529	49722	49891	-	-	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1112:22245:31688	14612	14582	+	-	broken	13	broken	13
A00742:705:HGKLFDSX7:1:1113:26612:2237	47875	47883	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1113:17526:5165	123582	123053	+	-	full	NA	broken	15
A00742:705:HGKLFDSX7:1:1113:3640:9987	48057	48113	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1113:31684:12649	50131	49392	-	-	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1113:28239:20901	48020	47980	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1113:1678:24095	68475	69021	-	+	broken	0	broken	0
A00742:705:HGKLFDSX7:1:1113:28709:34303	38636	39360	-	-	full	NA	broken	15
A00742:705:HGKLFDSX7:1:1113:8160:35697	96215	96926	-	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1114:15203:7216	47797	48063	-	+	broken	24	full	NA
A00742:705:HGKLFDSX7:1:1114:2971:8296	2742	1949	-	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1114:8531:16141	121053	121371	+	+	full	NA	broken	13
A00742:705:HGKLFDSX7:1:1116:31042:4304	93874	93682	+	+	broken	8	broken	8
A00742:705:HGKLFDSX7:1:1116:5873:15139	27794	27716	+	-	full	NA	broken	2
A00742:705:HGKLFDSX7:1:1116:10402:18944	65017	65297	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1116:6388:24643	58734	59035	-	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1116:14606:25066	50637	50301	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1116:11840:31641	3715	4013	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1116:26775:33802	65616	65940	-	-	broken	87	full	NA
A00742:705:HGKLFDSX7:1:1117:8151:1266	93624	93663	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1117:10149:1313	43321	43275	+	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1117:24216:10770	93331	93504	+	+	full	NA	broken	7
A00742:705:HGKLFDSX7:1:1117:15917:26929	10212	9906	+	+	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1117:22752:27054	67363	67884	-	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1117:23945:36699	8846	8717	+	+	broken	42	full	NA
A00742:705:HGKLFDSX7:1:1118:6153:1063	39327	39205	+	-	full	NA	broken	4
A00742:705:HGKLFDSX7:1:1118:13259:4695	122307	121484	+	+	broken	17	full	NA
A00742:705:HGKLFDSX7:1:1118:9706:5431	47846	48104	+	+	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1118:13702:7498	10484	10540	-	+	broken	12	broken	12
A00742:705:HGKLFDSX7:1:1118:13865:16955	102656	102080	-	-	broken	0	broken	0
A00742:705:HGKLFDSX7:1:1118:9046:18255	90815	91241	+	+	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1118:32624:26616	94847	95038	-	+	full	NA	broken	7
A00742:705:HGKLFDSX7:1:1118:9281:33755	52859	53436	-	-	broken	16	full	NA
A00742:705:HGKLFDSX7:1:1118:18285:34851	86856	87298	-	+	full	NA	broken	7
A00742:705:HGKLFDSX7:1:1119:28682:25426	14597	15507	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1119:4363:28964	86342	86065	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1119:20781:32315	47869	47912	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1119:20799:33473	70033	69829	-	-	full	NA	broken	52
A00742:705:HGKLFDSX7:1:1120:16929:5134	48601	48727	-	+	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1120:20826:7748	5993	5637	-	-	full	NA	broken	18
A00742:705:HGKLFDSX7:1:1120:2546:23469	12543	11943	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1120:17996:34475	83447	83697	+	+	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1120:22697:35822	26075	25744	-	-	broken	24	full	NA
A00742:705:HGKLFDSX7:1:1120:14172:36119	77397	78036	-	+	broken	2	complex	NA
A00742:705:HGKLFDSX7:1:1121:17797:4883	121549	120881	+	-	full	NA	broken	17
A00742:705:HGKLFDSX7:1:1121:14633:14810	5179	5850	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1121:7238:33692	33458	33520	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1121:6144:35180	47843	47827	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1122:20473:4820	121336	121090	+	+	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1122:25997:6934	93576	93542	+	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1122:17228:19742	8953	8666	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1122:6072:23030	93130	93556	-	+	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1123:3206:6793	60500	61109	-	+	full	NA	broken	3
A00742:705:HGKLFDSX7:1:1123:13232:28103	4473	4156	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1124:23683:8813	73335	74302	+	+	full	NA	broken	5
A00742:705:HGKLFDSX7:1:1124:17526:10300	95266	95919	-	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1124:1081:14231	76575	76458	-	-	full	NA	broken	15
A00742:705:HGKLFDSX7:1:1124:3649:15828	116243	115386	+	-	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1124:6198:30295	47978	48035	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1125:11776:10050	49805	49292	+	+	broken	14	broken	14
A00742:705:HGKLFDSX7:1:1125:11442:10473	5175	5958	-	+	full	NA	broken	17
A00742:705:HGKLFDSX7:1:1125:14796:13307	105208	105653	+	+	full	NA	broken	4
A00742:705:HGKLFDSX7:1:1125:21377:25332	90858	90742	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1125:12662:26240	3679	3989	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1125:14407:28354	90989	90701	+	+	broken	19	full	NA
A00742:705:HGKLFDSX7:1:1126:14714:1517	66602	66195	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1126:4634:7263	80428	80433	-	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1126:7401:10113	95805	95879	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1126:30264:10128	68262	67634	+	-	broken	2	complex	NA
A00742:705:HGKLFDSX7:1:1126:7934:15577	71854	71289	+	-	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1126:25427:18317	64629	64505	-	-	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1126:1949:25661	3340	3134	-	-	full	NA	broken	10
A00742:705:HGKLFDSX7:1:1126:3875:30373	53374	52909	-	-	full	NA	broken	16
A00742:705:HGKLFDSX7:1:1127:5249:1689	4569	4176	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1127:21441:12132	54734	53853	+	-	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1127:1533:13698	2915	3828	-	+	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1127:19407:14434	56755	56779	-	-	partial	NA	broken	13
A00742:705:HGKLFDSX7:1:1127:27995:22420	92253	91657	+	+	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1127:22724:26569	95807	94852	+	+	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1127:6777:35618	4551	4120	-	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1128:32786:3568	94803	95248	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1128:32777:33927	47717	47822	-	+	broken	65	full	NA
A00742:705:HGKLFDSX7:1:1128:31051:34350	125189	126072	-	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1130:8522:3881	22628	22720	-	+	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1130:17436:10645	14814	15092	-	+	broken	10	full	NA
A00742:705:HGKLFDSX7:1:1130:6569:15624	66509	66738	+	+	broken	19	full	NA
A00742:705:HGKLFDSX7:1:1130:9697:17378	64227	64637	-	-	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1130:8477:34460	118404	118277	-	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1131:32533:4288	92436	91513	+	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1131:20971:11350	69750	70709	+	+	complex	NA	full	NA
A00742:705:HGKLFDSX7:1:1131:30599:18223	122321	122446	-	+	full	NA	broken	4
A00742:705:HGKLFDSX7:1:1132:31819:2863	115561	115244	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1132:7075:3850	64979	65198	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1132:29812:14732	1982	2520	-	+	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1132:7536:23844	26509	26653	+	+	broken	11	full	NA
