Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1101:12608:5916	93516	93777	-	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1107:6515:7607	25854	25348	-	-	broken	13	full	NA
A00742:705:HGKLFDSX7:1:1107:5348:16548	17401	18150	+	+	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1110:8567:15139	79077	79396	-	-	full	NA	broken	14
A00742:705:HGKLFDSX7:1:1113:2374:22733	92509	92770	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1119:15646:29121	17404	17805	-	-	broken	4	full	NA
A00742:705:HGKLFDSX7:1:1120:1515:3521	93882	94855	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1120:32506:35963	97850	98086	-	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1122:12301:31563	54021	53803	+	-	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1123:25274:18333	68748	68800	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1130:1597:11804	61121	60598	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1131:24306:25927	91269	90489	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1135:8052:29778	116802	117269	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1138:25635:27258	91272	92134	-	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1139:30807:16172	93206	92832	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1142:10899:27070	107053	107859	-	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1143:13512:15248	63673	63022	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1144:8992:3850	42801	43553	-	+	full	NA	broken	6
A00742:705:HGKLFDSX7:1:1146:21007:29512	70206	69794	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1150:20726:1689	61937	62040	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1150:8015:26710	39860	40067	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1159:8350:20369	64977	65225	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1164:8260:27821	99330	100073	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1165:2437:6840	66448	65583	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1166:15230:22294	40945	41441	+	+	broken	0	full	NA
