Name	Read1Pos	Read2Pos	Read1Strand	Read2Strand	Read1Status	Read1Overalap	Read2Status	Read2Overalap
A00742:705:HGKLFDSX7:1:1103:16324:34773	87222	87483	-	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1105:14244:32330	108264	108439	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1109:11171:34898	118948	119432	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1110:18584:26256	113510	113773	+	+	full	NA	broken	41
A00742:705:HGKLFDSX7:1:1120:23167:3568	108044	108252	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1122:31123:18443	48811	47974	+	-	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1127:31394:36417	95096	95400	-	-	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1130:6858:20760	44419	44540	+	+	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1134:7853:35916	54473	54581	+	+	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1137:5873:31829	97427	97144	+	+	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1138:1190:2863	65709	65635	-	-	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1140:23366:33191	68664	68439	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1152:31765:18615	100062	99083	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1159:31593:23703	100120	99987	-	-	full	NA	broken	12
A00742:705:HGKLFDSX7:1:1171:7365:8234	95659	96102	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1173:9164:20964	5860	5547	+	+	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1176:8730:2644	23870	23915	-	+	full	NA	broken	7
A00742:705:HGKLFDSX7:1:1178:29451:13980	26197	25677	+	+	broken	0	partial	NA
A00742:705:HGKLFDSX7:1:1210:6298:11992	108641	109313	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1218:15474:34554	65027	64381	+	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1222:7708:27806	109094	109732	+	+	full	NA	broken	11
A00742:705:HGKLFDSX7:1:1223:3586:1752	50146	51089	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1227:24144:1689	104940	104989	-	+	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1228:32759:33238	7153	6913	-	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1230:13458:19351	121277	120667	+	-	full	NA	broken	8
A00742:705:HGKLFDSX7:1:1232:26151:8328	85612	85389	-	-	full	NA	broken	6
A00742:705:HGKLFDSX7:1:1237:24451:4069	57805	58284	-	+	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1240:14172:25974	80925	80680	-	-	full	NA	broken	6
A00742:705:HGKLFDSX7:1:1242:21739:9737	28975	28927	+	+	full	NA	broken	2
A00742:705:HGKLFDSX7:1:1244:13458:15875	48677	48999	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1256:17445:24752	26069	26808	-	+	broken	3	partial	NA
A00742:705:HGKLFDSX7:1:1257:30698:10629	104495	104702	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1258:9607:7326	115194	114783	+	-	full	NA	broken	21
A00742:705:HGKLFDSX7:1:1267:2437:25128	72319	72204	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1272:3830:18991	95709	94992	+	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1273:13783:14841	64969	65289	-	-	broken	15	full	NA
A00742:705:HGKLFDSX7:1:1277:6343:8093	61903	61586	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1301:31684:14434	52386	52145	-	-	full	NA	broken	5
A00742:705:HGKLFDSX7:1:1303:11785:7216	125813	125982	+	+	partial	NA	complex	NA
A00742:705:HGKLFDSX7:1:1307:9019:24565	105487	104816	+	+	broken	9	full	NA
A00742:705:HGKLFDSX7:1:1312:15591:34162	89282	88781	+	+	full	NA	broken	3
A00742:705:HGKLFDSX7:1:1314:31973:24392	42173	42913	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1322:5547:28197	56077	55885	-	-	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1325:29324:20776	10031	10394	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1329:21206:27790	57444	56890	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1338:19723:9408	50606	49782	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1340:1090:24643	100768	99867	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1347:18069:18349	123115	122885	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1354:16649:18803	26194	26018	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1356:4960:1407	106764	107231	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1356:6280:5321	109081	108306	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1359:17562:25300	91273	90810	+	-	broken	1	partial	NA
A00742:705:HGKLFDSX7:1:1372:17327:22889	70058	70183	+	+	full	NA	broken	2
A00742:705:HGKLFDSX7:1:1374:1190:22686	65540	66288	-	+	full	NA	complex	NA
A00742:705:HGKLFDSX7:1:1378:12572:33692	80843	81286	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1404:30436:36041	72049	71288	+	+	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1406:11840:30921	98786	98734	+	-	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1407:9146:15327	81593	82173	-	+	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:1416:6922:31735	118245	118527	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1417:12933:22983	7764	8674	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1419:28619:2143	125012	124855	-	-	partial	NA	broken	10
A00742:705:HGKLFDSX7:1:1423:4842:29387	102926	102721	-	-	full	NA	broken	53
A00742:705:HGKLFDSX7:1:1434:30752:3897	66924	67082	+	+	full	NA	broken	49
A00742:705:HGKLFDSX7:1:1441:29053:22216	85789	85536	+	+	broken	7	full	NA
A00742:705:HGKLFDSX7:1:1450:12680:2096	3928	3887	+	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1455:9715:34507	57756	57564	-	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1457:3893:13244	127084	127171	-	-	broken	11	full	NA
A00742:705:HGKLFDSX7:1:1468:23077:2503	103345	103909	-	-	broken	1	full	NA
A00742:705:HGKLFDSX7:1:1468:20247:35336	17939	18372	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1469:4707:2879	95792	95319	-	-	broken	2	broken	2
A00742:705:HGKLFDSX7:1:1477:7997:29246	30221	30431	-	-	broken	6	full	NA
A00742:705:HGKLFDSX7:1:1509:7111:14653	90151	89933	-	-	full	NA	broken	1
A00742:705:HGKLFDSX7:1:1517:12219:5181	58507	57737	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1518:14109:31281	20041	19627	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1518:23285:34366	26116	25882	+	+	broken	5	full	NA
A00742:705:HGKLFDSX7:1:1522:30734:3897	37772	38555	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1533:11858:15421	85586	86511	-	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1533:24795:32659	15535	16230	-	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1536:8522:15436	90911	91617	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1537:11397:30123	97065	97742	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1546:27037:34632	84834	84379	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1547:17571:13949	90194	89782	-	-	full	NA	broken	9
A00742:705:HGKLFDSX7:1:1549:27055:29403	102563	101880	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1555:30373:33520	126064	126425	+	+	full	NA	broken	16
A00742:705:HGKLFDSX7:1:1558:4887:21136	64504	63544	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1559:21576:2973	89074	89778	-	-	complex	NA	full	NA
A00742:705:HGKLFDSX7:1:1560:10077:30279	125847	125622	-	-	full	NA	broken	6
A00742:705:HGKLFDSX7:1:1562:31096:34397	100576	100687	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1563:30382:18568	99583	99515	-	-	full	NA	broken	7
A00742:705:HGKLFDSX7:1:1563:13160:33520	63541	63257	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1569:7392:4679	4972	4406	+	-	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1574:24216:33505	123457	123896	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1604:16360:24752	9934	9158	-	-	broken	2	full	NA
A00742:705:HGKLFDSX7:1:1608:14109:18787	98654	99620	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1616:30816:9048	75086	74643	-	-	broken	8	full	NA
A00742:705:HGKLFDSX7:1:1616:19117:20259	100686	100515	+	+	broken	14	full	NA
A00742:705:HGKLFDSX7:1:1635:16749:33786	91101	90635	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1644:16414:12696	50766	50884	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1646:18285:15217	94840	94394	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1648:19461:7044	61332	61117	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:1654:21829:12305	92843	93722	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1658:16776:12007	98767	97931	+	+	full	NA	broken	0
A00742:705:HGKLFDSX7:1:1659:12816:21026	84510	84208	-	-	complex	NA	complex	NA
A00742:705:HGKLFDSX7:1:1665:30563:28150	97264	96962	+	+	full	NA	partial	NA
A00742:705:HGKLFDSX7:1:1666:23502:22561	89656	89123	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:1671:13141:28604	105755	106720	-	-	full	NA	broken	15
A00742:705:HGKLFDSX7:1:1678:12346:3771	19406	19240	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:2104:18593:16689	54831	55421	-	+	broken	3	full	NA
A00742:705:HGKLFDSX7:1:2105:22128:24502	35160	34985	-	-	full	NA	broken	4
A00742:705:HGKLFDSX7:1:2107:26033:29606	65078	64324	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2107:3929:35008	31051	31625	+	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2109:2853:1799	21488	21629	+	+	broken	29	full	NA
A00742:705:HGKLFDSX7:1:2113:11360:29528	109094	108472	-	-	broken	20	full	NA
A00742:705:HGKLFDSX7:1:2116:30273:33880	90451	90486	-	+	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2117:2284:22263	91635	91491	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2120:22878:5979	13547	13396	+	+	full	NA	broken	7
A00742:705:HGKLFDSX7:1:2120:17173:32831	30086	29796	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2121:28528:30389	39004	39335	-	+	complex	NA	complex	NA
A00742:705:HGKLFDSX7:1:2124:30183:18599	105230	104664	+	+	partial	NA	partial	NA
A00742:705:HGKLFDSX7:1:2124:17390:34867	25082	24799	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:2129:28113:32957	120701	120487	-	-	full	NA	broken	0
A00742:705:HGKLFDSX7:1:2141:23393:32205	106376	106435	+	+	broken	0	full	NA
A00742:705:HGKLFDSX7:1:2146:5240:10191	126408	126451	-	+	full	NA	broken	34
A00742:705:HGKLFDSX7:1:2159:2040:34460	98522	98477	+	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2170:14109:1971	46402	46551	-	+	full	NA	broken	3
A00742:705:HGKLFDSX7:1:2201:12816:18020	100303	100485	-	+	full	NA	broken	2
A00742:705:HGKLFDSX7:1:2203:19795:31955	63579	63273	-	-	full	NA	full	NA
A00742:705:HGKLFDSX7:1:2224:10936:5619	106149	105574	-	-	partial	NA	full	NA
A00742:705:HGKLFDSX7:1:2225:21296:1235	3183	3589	+	+	full	NA	full	NA
